stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.52,0,0,0,27.18,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.54,0,0,0,16.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.06,5.06,0,0,13.3,0,0,3.81,0,0,0,0,0,0,0,0
 14-21,28.34,0.83,63.81,32.94,0,18.47,0,0,0,2.46,0,0,0.92,0,1.29,0,0,1.85,0,15.47,0,0,14.4,565.23,4.36,23.42,30.19,0,0,3.66,0,226.73,24.53,321.89,0,0,11.2,0,0
 24-34,27.41,2.32,23.67,3.19,0,36.41,0,0,0,10.8,0,0,2.03,2.11,68.3,0,2.91,30.53,0.97,10.75,3.01,1.52,14.01,4320.86,1.42,349.94,23.06,0,0,9.5,9.06,171.29,10.07,655.88,0,0,19.29,0,0
 36-46,10.62,0,31.33,1.81,0,51.66,5.24,0,0.82,66.64,0,0,6.93,0,19.7,0,1.78,10.35,3.65,32.35,0,0,15.51,8041.87,2.15,382.96,31.98,0,0,20.76,19.79,66.53,3.16,754.06,0,0,2.22,0,2.33
 48-58,3.27,0,50.1,3,0,306.26,1.18,1.07,9.72,141.01,0,0,8.81,1.1,20.22,4.49,14.09,9.67,17.92,74.52,1.32,2.72,6.5,8554.13,0.56,239.24,18.83,0,0,25.41,5.45,24.73,0,599.21,0,0,9.25,0.72,15.93
 60-70,14.2,0,42.54,4.71,0,801.76,5.27,1.49,18.65,211.11,2.12,0,4.24,12.06,13.33,15.72,50.57,19.27,3.25,69.6,0,8.32,13.73,12171.45,1.28,210.42,41.26,0,1.5,6.61,14.8,7.71,0,1022.32,0.81,1.03,7.62,1.92,20.43
 72-82,45.3,0,96.7,34.44,0,2723.85,16.47,2.6,17.84,365.44,13.74,0,3.7,3.94,38.38,2.26,67.78,14.95,2.32,242.13,1,10,19.18,13327.54,1.47,398.63,94.6,0,8.38,17.74,11.49,0.71,0,910.5,27.44,4.53,14.3,3,68.29
 84-94,21.5,0,98.56,9.07,0,2093.97,4.36,4.24,16.37,232.1,31.17,0.77,2.72,9.47,32.01,13.08,101.13,2.48,0,156.78,0,8.29,12.28,9610.88,0.57,415.83,99.15,0,2.63,27,6.03,6.38,0,666.97,33.93,2.06,5.67,9.26,47.31
 96-106,39.99,1.07,113.34,58.44,0,2886.64,10.26,5.1,14.58,308.66,30.34,0,9.06,8.69,52.88,0,202.33,47.18,6.16,211.46,0,8.12,25.78,8165.72,3.34,603.84,164.65,0,27.07,33.62,12.49,3.77,0,298.64,72.43,6.33,13.99,1.93,18.48
108-118,84.93,0,151.16,24.58,0.55,2650.55,10.49,9.65,12.52,392.53,14.17,0,1.77,5.57,71.83,5.41,152.99,9.47,0.83,207.67,1.59,2.74,26.46,15108.65,3.19,419.03,148.38,0,17.82,27.57,4.49,7.84,0,300.6,107.17,11.64,3.91,12.03,16.37
120,52.78,0,76.26,18.18,2.59,2053.74,12.76,0,17.88,534.02,8.27,0,6.43,12.75,22.22,17.18,120.01,17.62,0,240.02,0,0,61.64,20474.65,8.87,406.37,174.21,0,14.69,28.03,2.39,1.21,0,367.46,29.81,5.29,22.59,12.53,26.47
