stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.94,77.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0,0,0
  5-6,0,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.44,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.19,0,0,0,0,0,83.77,0,0,0,0,0,0,0,0,0,0,31.76,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4,0,0,0,0,0,0,0,0,0,0,10.46,0,0,0,11.51,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0.87,5.5,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,1.27,0,0,2.27,27.14,0,0,0,0,0,1.15,0,2.04,25.73,0,0,0,0,0
 24-34,0,0,0,0.81,0,0,0,3.53,0,0,0,0.99,0,0,0,0,0,0,0,0,6.3,0,0,4.82,391.08,0,0,1.16,0,0,3.89,0,0,163.65,0,0,9.11,0,0
 36-46,0,0,0,0.63,4.31,0,0,15.4,0,1.19,0,18.93,0,0,1.66,0,1.95,0.61,0,7.12,9.26,0,0,0.68,1045.34,0,2.63,0.9,0,0,4.95,0,0,260.77,0,0,3.62,0,0
 48-58,0,0,0,0,5.39,1.54,0,105.13,0,3.85,1.1,115.73,0,0,6.66,0,0,2.78,0,0,24.66,0,0,4.01,1871.07,0.91,1.25,0.42,3.66,0,11.06,0,0,296.28,0,0,12.33,0,7.14
 60-70,0,0,0,0,8.35,0,0,537.33,0,0,0,231.23,0.85,0,0,0,0.85,2.05,2.6,0,30.74,1.14,0,1.43,3376.3,0,5.84,0,0,0,8.75,0,0,367.4,0,0,15.98,3.56,1.76
 72-82,0,0,0,0,11.14,6.57,0,693.22,0,0,3.88,346.63,1.68,0,4.22,2.11,0,6.18,0,0,54.91,0,1.11,1.23,4198.6,0,2.74,10.96,0,0,2.46,0,0,244.93,0.87,0.79,22.71,0,16.12
 84-94,0,0,0.56,0,26.79,0.84,0,560.88,0.56,1.03,0,185.18,2.61,2.66,1.86,0,3.4,3.34,0,0,50.47,0,0,0,2919.32,0,3.58,10.11,0,0,15.08,0,0,172.91,0,0,18.85,3,0
 96-106,0,0,0,0,26.61,15.54,0,525.79,0,1.15,1.85,252.29,0,0,0,0,0.75,6.03,9.89,1.06,44.8,0,0,4.04,2509.01,0,9.96,18.21,0,2.27,17.29,0,0,89.36,0,1.26,28.8,0,0
108-118,0,0,0.57,0,13.68,17.4,0.45,446.43,0.56,0,1.03,190.05,1.18,0,2.22,0,0,2.43,0,4.49,37.19,0.59,0,2.05,2370.94,0,6.7,4.48,0,0,6.07,0,0,54.39,0,0,12.76,0.49,2.39
120,0,0,3.52,0,16.18,12.99,5.97,487.85,0,2.63,0,400.88,1.4,0,8.67,0,3.86,6.67,0,0,69.95,0,0,2.04,4678.91,0,11.44,14.64,0,38.99,1.03,2.11,0,96.5,0,0,80.33,0,0
