stage,blastomeres,epidermis,eye,fast_muscle,melanocytes,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,30.35,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.42,0,14.78,0,0,0
 10-12,0,0,0,0,0,0,32.84,0,8.95,0,0,0
 14-21,0,1.42,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.8,0,0,0,0,0,0
 36-46,0,0,1.16,0,0,0,0.74,0,0,0,1.1,0
 48-58,0,0,0,0,0,0.58,0,0,0,0,0,0
 60-70,0,0,3.56,0.61,0,0,0,0,0,0,0,0
 72-82,0,0,29.79,0,0,0.91,0,1.65,0,0,0,0
 84-94,0,0,38.35,0,0,0,0,0,0,0,0,0
 96-106,0,0,122.13,0,0,0,10.9,0,0,0,0,0
108-118,0,0,116.84,0,5.88,0,3.35,0,0,2.4,0,0.6
120,0,0,166.65,0,0,5.31,16.74,0,0,0,0,0
