stage,epidermis,eye,mesenchyme,neural,spinal_cord,vasculature
 14-21,1.26,0,1.86,0,0.88,0
 24-34,0,0,0,0,1.19,0
 36-46,0,0,0,3.07,0,2.11
 48-58,0,0,0,0.57,0.86,0
 60-70,0,0,0,2.67,0,0
 72-82,0,0,0,1.02,0,0
 84-94,0.77,0.64,1.25,0,0,0
 96-106,1.74,0,0,5.74,0,0
