stage,blastomeres,epidermis,eye,glial,gut,liver,mesenchyme,neural,paraxial_mesoderm
  5-6,21.9,0,0,0,0,0,0,0,0
  7-9,3.94,0,0,0,0,0,0,0,4.3
 72-82,0,0,0,0,1.61,0,0,1.62,0
 84-94,0,0,0,0,0.71,1.08,0,0,0
 96-106,0,0.57,0,0,17,17.15,1.7,8.5,0
108-118,0,0,1.92,1.59,40.02,53.58,0,10.25,0
120,0,0,0,0,37.62,8.71,7.29,0,0
