stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,94.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.62,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.55,0,7.7,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,39.12,4.06,0,0,6.68,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.43,0,13.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.96,28.37,0,0,49.14,0,0,0,14.84,0,0,0,0,0,0
 14-21,0,0,0,0.93,7.66,3.52,0.91,0,0,176.5,1.93,0,0,0,0,0,14.54,0,0,3.38,130.17,5.54,0,59.67,15.83,0,2.57,4.29,189.89,5.91,572.78,0,0,0,0
 24-34,0,0,0,0,8.08,0,7.49,0,0,155.05,0,0,0,0,0,1.39,10.37,0,0,0,124.86,6.29,2.33,16.12,0,0,0,0,59.29,2.75,357.1,0,0,0,0
 36-46,0,0,0,0,0.73,0,1.56,0,2.07,119.23,0,1.09,0,0,0,1.39,6.56,0,0,2.65,153.07,0.81,18.78,5.96,0,0,0,0,31.93,0,207.09,0,0,0,0
 48-58,0,0,0.68,0,0.75,0,13.78,0,0.56,87.05,0,3.16,0,0,0,1.23,5.09,0,0,1.18,80.66,5.76,10.58,7.25,0,0,0,0,14.93,0,196.28,0,0,0,0.83
 60-70,0,0,0,0,2.83,0,9.95,0,2.14,100.54,0,5.55,0,0.61,1.2,4.28,10.41,0,0,1.7,100.5,0,22.66,9.59,0,0,0,0,13.04,0,81.09,0,0,0,0
 72-82,0,0,0,0,1.17,0,8.67,0,0,97.78,0,1.48,0,0,0,6.43,15.21,0.61,0,0,62.12,0,14.53,10.59,0,0,0,0,4.26,0,45.19,0,0,0,7.54
 84-94,0,0,1.29,0,5.22,0,15.4,0,0.74,84.85,0.74,8.49,0.55,0,1.38,11.89,8,0,0,1.09,58.87,0,27.07,19.49,0,0,0,0,11.57,0,52.15,0,5.56,0,0
 96-106,0,0,1.41,1.61,3.16,3.05,14.69,0.58,0,64.09,1.06,0,0,0,0.89,14.82,8.41,1.24,1.16,0,35.31,1.48,21.93,24.02,0,0.81,0,0,1.22,0,37.49,0,0,0.76,0
108-118,0,0,1.94,2,3.99,0,2.66,0,0,41.87,2.2,0,0,0,0.93,7.79,8.46,0,0,0.43,57.3,0.43,17.46,25.38,0,0,0,0,4.26,0,29.07,1.31,0,0.94,0
120,0,0,1.73,6.35,1.98,0,1.56,0,0,5.1,4.65,0,1.18,0,0,12.45,14.53,0,0,0,62.5,0,11.3,15.14,0,0,0,0,2.81,0,4.73,0,0,0,0
