stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.94,74.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.48,0,0,0,0,0,0,0,0,0,0
  5-6,33.45,363.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,0,605.56,0,0,0,0,0,0,0,0,0,0
  7-9,14.98,50.79,0,11.43,0,0,0,25.68,0,0,0,0,0,213.12,0,0,0,0,0,0,0,0,0,0,0,1007.65,40.58,0,0,167.16,72.43,0,0,0,0,0,0,0,0,0,0
 10-12,0,29.03,0,70.98,0,0,0,25.78,0,0,0,0,0,199.89,0,0,0,0,0,0,0,0,0,0,0,1717.91,67.77,0,0,206.86,22.54,0,12.82,0,0,13.81,0,0,0,0,0
 14-21,0,0,0,2.06,55.78,1.72,0,8.03,0,0,0,6.64,0,0,0,0,0,0,0,0,0,6.88,0,0,2.84,65.1,0.87,0,0,1.21,23.76,1.81,0,0,4.24,47.69,0,0,0,0,0
 24-34,0,0,0,0,30.06,1.56,0,8.01,0,3.46,0,12.02,0.61,0,0,0.62,3.73,0,0.63,0,0,11.17,6.37,0,4.9,152.85,0,0.69,0.74,0,60.96,0,2.12,0,1.4,48.01,0,0,8.45,0,0
 36-46,0,0,0,0,40.4,0.81,0,9.79,0,3.06,0,11.27,0,0,0,0,2.11,0,0.77,0,1.46,18.72,1.71,1.12,1.34,179.19,0,5.54,5.2,0,74.71,0,0,0,0,35.01,0,0,8.29,0,0
 48-58,0,0,0,0,22.53,0,0,76.45,0,5.17,1.92,28.65,1.58,0,3.5,0,10.13,0.39,2.14,0,0,21.09,5.27,0,0.4,110.68,0,3.81,0.53,0,49.2,0,0.53,0,0,39.62,0,0.51,1.23,0,0
 60-70,0,0,0,0,13.76,0,0,267.69,0,3.28,0.63,32.52,3.5,0,2.66,3.14,3.12,1.16,2.97,0,0,42.66,4.35,2.36,4.08,87.29,1.23,0.89,0,0,21.9,0,3.7,0,0,27.54,0,0,0,0,0
 72-82,0,0,0,0,29.1,3.93,1.16,225.42,0,0.55,2.49,13.57,1.47,0.52,3.44,3.93,4.53,6.49,1.06,0.78,0,32.45,5.1,0,1.27,76.02,0,6.47,2.11,0,10.57,0,0.68,0,0,10.68,4.69,0,3.43,1.49,1.16
 84-94,0,0,1.18,0,49.09,0.56,0,191.68,0.64,1.22,2.4,11.77,9.87,0,0,4.01,6.79,1.32,6.12,2.06,8.12,36.65,6.37,1.01,0.65,60.18,0,7.82,0.69,0,41.19,0,1.89,0,0,6.82,18.16,2.12,6.81,0,0
 96-106,0,0,0,0,34.03,1.76,0,211.46,0,1.32,0,11.32,12.73,0,2.46,6.34,4.94,0,4.91,3.61,0,30.53,13.39,0.93,0.93,66.6,0.7,16.33,1.18,0,36.29,0,0,0,0,4.72,3.63,0,2.1,0,1.24
108-118,0,0,0.98,1.06,61.1,0,1.77,131.54,0.92,4.71,2.82,25.58,13.45,0,0,6.4,5.43,0.42,3.41,0.43,0,23.29,4.76,0,5.01,97.46,4.46,17.13,3.34,0,32.4,0,2.01,1.32,0,2.52,7.96,2.41,5.85,0,0.85
120,0,0,1.37,5.69,65.84,1.14,0,79.33,3.87,3.58,0,39.44,22.23,0,0,7.16,11.59,0,0,0,4.02,67.96,0,0,33.69,133.16,0,21.26,5.83,0,19.1,0,0,0,0,0,11.47,0,0,0,0
