stage,blastomeres,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.28,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,12.35,0,16.22,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3.69,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.69,0,0,0,6.45,0,0,10.15,0,0,0,0,0,2.58,0,2.35,0,0
 36-46,0,0,1.1,0,0,2.27,0,0,0,10.4,0,1.78,10.91,0,0,0,0,0,1.18,0,0.63,0,0
 48-58,0,0,0.57,0.38,0,1.72,0.48,0,0,4.01,0,0,6.81,0,0,0,0,0,0,0,0.62,0,0
 60-70,0,0,6.95,0,0,3.22,0,0,0,11.61,0,0,0,0,0,1.65,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.55,0,0,0,7.32,0,0,0,0,0,0,0,0,2.08,0,2.6,0.91,3.91
 84-94,0,0,14.63,0,0,1.82,0,0,0,8.19,1.48,0.96,18.5,0,0,0,0,0,0,0,1.21,0,0
 96-106,0,0,0,0,0,14.17,0,0,7.43,19.14,2.28,0,3.3,1.81,0,0,0.82,0,1.64,0,0.96,2.25,0.91
108-118,0,0.95,16.5,1.46,1.26,5.22,0,0.56,0,18.21,0,2.25,3.21,0,0,1.35,0,0.46,1.72,0,5.76,1.68,1.09
120,0,0,0,0,0,3.44,0,1.01,0,17.74,10.85,0,22.92,0,0,0,0,0,0,7.39,4.97,0,0
