stage,axial,gut,neural,notochord,olfactory
  5-6,9.31,0,0,0,0
 10-12,0,0,0,9.05,0
 48-58,0,0,0.97,0,0.62
 96-106,0,0,0,0,37.95
108-118,0,3.65,2.66,0,3.43
