stage,blastomeres,erythrocytes,eye,glial,lateral_line,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  5-6,37.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.37,0,0,0,33.04,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,19.29,4.29,0,0,33.79,0,0,0,0,0
 14-21,0,0.96,0,0,0,0,0,0,0.93,0,1.83,0,2.56,4.48,1.24,0,0
 24-34,0,0,0,0,0.68,0,0,0.86,0,0,3.87,0,0,0,0,0.73,0
 36-46,0,0,0.78,0,3.34,0,0,0.85,1.44,1.22,13.51,0,0,0,0,0,0
 48-58,0,0,0,0,0.61,0,0,0,0,0,7.45,0,0,0,0,0,0
 60-70,0,0,3.15,0,3.71,0,0,0,0,0,8.36,0,0,0,0,0,0
 72-82,0,0,0,3.54,9.55,0.61,0,0,0,0,8.18,0,0,0,0,0,0
 84-94,0,0,0,0,16.17,1.46,0,0.79,0,0,18.05,0,0,0,0,0,1.22
 96-106,0,0,0,0,35.48,0,1.15,3.24,0,2.87,32.62,0,0,0,0,0,1.56
108-118,0,0,0,0,26.22,0,0,3.22,0,1.57,40.64,0,0,0,0,0,0
120,0,0,0,0,17.84,0,0,0,0,5,24.51,0,0,0,0,0,0
