stage,eye,glial,immune,iridophores,melanocytes,neural,spinal_cord,taste
 24-34,0,0,2.6,0,0,1.21,0,0
 36-46,0,0,15.4,0,0,11.92,0.76,0
 48-58,0.85,0,3.98,0,0,11.19,2.44,0
 60-70,13.5,0,6.01,0,0,38.34,2.1,0
 72-82,15.91,0,21.12,0,0,34.73,4.88,0.88
 84-94,15.87,0,14.66,1.29,4.83,15.27,0,0
 96-106,0,0,16.89,0,0,8.04,0,0
108-118,7.21,1.54,24.15,0,0,13.65,0,0
120,0,0,28.52,0,0,14.35,0,0
