stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.03,11.32,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,15.85,0,1.67,0,0,0,0,0,0,0,0.98,0,0,0,37.55,0,0,0,0,0,0,0.88,0,0,1.01,13.54,0,0,0,0
 24-34,0,0.63,0,0,37.68,0,7.44,2.05,0,0,0,0,0,0,1.6,0,0,1.44,96.67,0,0,1.51,0,0,1.84,0,5.3,0,0,25.09,0,0,0,0
 36-46,0,0.63,0,0,62.47,0,13.53,0,0,0,0,0.91,0,1.09,7.46,0,0,0,160.22,1.24,0,2.76,0,0,0,0,1.5,0,0,39.32,0,1.38,0,0
 48-58,0,0.39,0,0,81.26,2.69,50.51,0,0,0,0,0,0,0,6.67,0,6.96,0.47,70.8,0.5,0,2.83,0,0,2.89,0,0,0,0,46.67,0,0,0,2.93
 60-70,0,0,0,0,117.32,0,103.65,0,0,0,0,0,0,0,11.36,0,0,1.6,48.66,0,0,6.73,0,0,2.28,0,0,0,0,31.74,0,6.34,0,0
 72-82,0,4.58,0,0,168.53,0,139.14,0,0.91,0,0,0,0,0,17.93,0,0,0.54,39.57,0,0,7.43,0,1.78,4.95,0,0,0,0,19.19,0,0.54,2.34,8.54
 84-94,0,0,0,0,346.18,0,105.91,0,0,0.58,0,0,0,0,0.61,0,4.03,1.55,50.65,0,0,7.88,0,0,4.46,0,0,0.79,0,14.01,0,0,0,0
 96-106,1.56,3.05,0,0,355.74,0,114.03,0.93,1.9,3.83,0,0,0,0,12.82,0,0,0,25.09,0,0,13.35,0,0,11.99,0,0,0,0,19.16,0,0,0,0.8
108-118,0,8.32,1.98,1.08,438.55,0.43,138.17,0,0,0,1.34,0,0.89,0,21.05,2.77,0.94,0,56.73,0,0.53,11.65,0,0,0,0,0.87,0.43,0,6.63,3.26,1.33,0,0
120,0,0,0,0,228.59,0,221.7,0,0,0,0,0,0,0,15.7,0,0,1.09,90.38,0,0,22.74,0,0,2.27,0,0,0,0,17.11,0,0,0,0
