stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,0,31.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.71,8.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01,0,0,0,0,0
 14-21,0,0,0,0,1.93,0,0,0,0,0,0,0,0,1.14,0,0.96,0.97,2.6,0,0
 24-34,0,0,0,0,0.62,0,0,0,0.98,0.68,0,0.6,2.37,0,2.69,0,0,21.17,0.88,11.01
 36-46,0,0,0,11.13,0,0.85,0,0,0,0.56,0.88,0,0,0,1.81,0,0,14.01,0,2.56
 48-58,0,0,0,0,0,0,0,0,1.62,0.82,0,0,0.38,0.67,3.52,0,0,8.85,0.59,0
 60-70,0,0,0,0,0,0,0,0,12.7,0,0,0,0,0,1.01,0,0,4.68,0,0.73
 72-82,0,0,0,0.6,0,2.24,0,1.94,3.56,0.61,0,0,2.56,0,14.53,0,0,9.84,0,0
 84-94,0,0,0.66,0,0,0,0,1.54,13.3,1.48,0,1.41,0,0,3.69,0,0,25.86,0,0.61
 96-106,0,0,0,0,0,3.23,4.72,1.05,2.55,1.34,0,4.55,0,0,2.75,0,0,15.26,0,1.83
108-118,0,0,0,0.98,0,1.04,1.82,4.24,11.91,0.42,0,2.49,0,0,4.26,0,0,21.04,0,0
120,0,0,0,2.18,15.15,2.87,0,9.95,16.81,0,0,1.05,0,0,21.04,0,0,25.62,0,0
