stage,endocrine_pancreas,epidermis,eye,glial,gut,iridophores,lateral_line,melanocytes,muscle,neural,olfactory,pronephros,spinal_cord
 14-21,0,0,0,1.25,0,0,0,0,0,7.02,0,0,11.9
 24-34,0,0,0,3.17,0,0,0,0.73,0,54.09,0,1.59,39.04
 36-46,0,0,0,6.78,0,0,0,0,0,154.69,8.82,0.72,27.6
 48-58,0,0,0,3.71,0,0,0,0,0,54.27,4.03,0,15.18
 60-70,0,0,0,24.92,0,5.65,0,0,0,37.87,3.58,0,10.05
 72-82,0.91,0,9.31,15.49,0,0,0,0,2.94,11.33,10.9,0,7.44
 84-94,0.8,0,0.63,5.81,0,0,1.35,0,0,15.45,12.71,1.51,5.27
 96-106,0,1.66,9.22,8.07,0,0,0,0,0,9.59,8.03,0,7.32
108-118,0,0,1.26,6.29,0.68,0,0,0,0,21.59,6.96,0.61,5.29
120,0,0,0,5.49,9.76,0,0,0,0,4.15,0,0,0
