stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
 14-21,1.37,5.45,4.23,8.01,0,0,2.98,0,0,0,0,0,0,4.85,0,0,7.29,170.16,8.07,1.09,0,0.99,3.75,11.6,13.04,38.05,0,0
 24-34,0.98,8.55,2.67,89.83,3.01,0,5.85,0,0,1.33,1.75,0.63,0,56.64,0,0,12.84,672.28,0,0.89,2.69,0,10.69,0,4.08,150.04,0,6.61
 36-46,0,7.34,3.01,165.47,2.41,0.63,9.57,0.72,0,0,0,0,0,33.76,0,1.06,6.09,487.06,0,2.53,1.7,0,1.67,0,0,73.32,0,4.61
 48-58,0,3.85,2.95,222.53,0,0,7.54,0,1.83,0,0,3.8,0,40.73,0,1.53,7.66,190.22,0.88,0.85,1.13,0,7.99,0,0,16.75,0,2.93
 60-70,0,4.52,0.65,201.52,1.14,0,9.83,1.91,0,0,0,0,0,16.63,0,5.48,3.84,117.72,0,0,0,0,1.75,0,0,3.36,0,11.59
 72-82,0,3.01,0,37.63,1.55,0,4.31,0,1,0,0,0,0,16.49,0.58,0.72,3.74,41.61,0,0,0,0,0.5,0,0,1.97,0,0.95
 84-94,0,4.56,0.97,37.41,0,0,3.31,1.51,0,0,0,0,0.96,19.9,0,1.78,1.31,57.97,0,0.8,0.74,0,0.66,0,0,0,2.36,5.7
 96-106,0,0,0,12.82,0,0,3.93,0.6,0,0.62,0,0,0.72,9.24,0,0,0.67,19.35,0,0,0,0,1.46,0,0,0,1.17,0.73
108-118,0,3.89,0.59,33.02,0,0,1.63,0,0,0,0,0,3.9,4.15,0,0.62,2.42,36.28,0,0.95,3.98,0,0,0,0,0,0,5.03
120,0,0,5.42,93.42,0,0,18.8,0,0,3.81,1.4,1.18,0,42.46,0,2.08,6.57,140.97,1.1,0,9.66,0,0,0,0,0,0,4.29
