stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,immune,lateral_line,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,11.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.76,0,0,0,0,0,5.31,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0
 14-21,0,0,0,0.83,0,0,0,0,0,0,0,0,0,6.26,0,0,0,0,4.12,0,0.91,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0.86,0.79,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,2.56,0,6.42,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.79,0,0,3.28,0,0,6.35,0,13.19,28.35,0,0,0,1.65,0,0.58,0,1.55
 60-70,0,0,0,0,0.95,0,0,0,0,15.22,0,0,18.83,0.68,71.27,12.69,0,0,0,0,0,1.6,0,4.18
 72-82,0,0,0,0,1.72,0,1.8,0,0,0.85,0,0,30.04,1.53,114.25,35.6,0,0,0,0,0,13.18,1.01,7.43
 84-94,0,0,0,0,1.98,0,0.91,0.67,0,7.94,0,0.68,15.62,7.43,68.31,51.95,0,0,0,0,0,0,0,14.89
 96-106,0,0,3.15,8.78,9.78,0.62,0,0,0,4.62,0.63,0,22.79,0,85.58,18.42,0,0,0,0,0,2.28,0,22.71
108-118,0,0.74,7.89,0,66.66,0,1.22,5.48,0,7.28,0,0.6,31.62,0,74.69,36.94,0,0,0,0,0,1.33,0,17.05
120,0,0,0,0,12.99,0,2.59,0,0,21.26,0,0,30.54,0,265,53.85,0,0,0,0,0,0,0,5.89
