stage,epidermis,eye,fin_epithelia,neural,periderm
  7-9,0,0,0,8.12,0
 36-46,0,0,0,0,0.58
 60-70,0,0,4.33,0,0
 72-82,0,1.47,0,0.99,2.54
 84-94,0,0,0,0,7.91
 96-106,0,0,0.59,0,4.48
108-118,1.58,0,0,0,1.34
120,3.71,0,2.67,0,0
