stage,axial,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.01,6.81,0,6.78,0,0,3.12,0,0,0,0,0,10.35,0,2.74,80.43,1.08,0,0.95,0.99,1.01,2.97,0,5.21,17.97,0,0,0,0
 24-34,0,0,1.26,0,21.07,0,0,1.35,0,0,0,0,0,16.71,0,3.52,170.8,0,2.3,6.14,0,1.73,0,0,2.85,29.68,0,2.34,0,2.64
 36-46,0,0,0,0,30.75,0,1.17,1.95,0,0,0,0,0.65,9.1,2.04,0,148.04,0,0,0,0,0,0,0,0,22.55,0,0.92,0,2.46
 48-58,0,0,10.15,0,21.67,0,0,5.67,0,1.74,0,0,0,6.4,0,2.31,80.11,0,0,0,0,0,0,0,0,11.09,0,0,0,0
 60-70,0,0,0,0,33.79,0,0,13.36,0,0,0,0,0.66,13.94,0,0.67,88.45,7.06,0,0,0,0,0,0,0,5.88,0.65,0,0,0
 72-82,0,0,6.33,0.85,18.27,0,0.95,3.1,0,0,0.67,0.93,0,17.12,0.85,0.64,78.41,0,0,0,0,7.78,0,0,0,0,0,2.63,0.61,0
 84-94,0,0,3.43,0,32.23,1.33,0,0,0,0,0,0,0,8.84,0,0,33.97,0,0,0,0,0,0,1.11,0,0.74,0,0.8,0,0
 96-106,0,0,1.75,15.51,6.28,0,0.81,4.34,0,0,1.74,0,0,1.75,0,0,34.12,0.91,0,0.6,0,1.86,0,0,0,0,0,3.36,0,0
108-118,0,0,0.89,0,29.03,0,0,4.09,0,0,0,3.24,0,8.41,0,0.5,47.42,0,0,1.09,0,3.45,0,0,0,3.96,0,3.94,0,0
120,1.19,0,3.47,0,11.1,0,0,1.8,2.75,0,0,0,0,5.34,0,0,21.68,0,5.84,0,0,0,0,0,0,0,0,0,0,0
