stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord,taste,vasculature
  5-6,10.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.84,7.61,1.1,0.82,0,0,0,0,0,1.08,0,0,0,0,4.43,0,0,3.52,0,0,18.67,0,3.77,0,0
 24-34,0,0,1.67,0,30.72,7.7,0,0,0,1.69,0,0,0.85,0,0,0,0,1.77,0,0.63,12.01,0,2.57,2.07,0,8.68,0,0
 36-46,0,0,0,0,49.92,9.74,0,0,1.14,0,0,0,0,0,0.68,0,0,0.8,0,0.97,39,0,0,2.21,1.67,7.23,0,0
 48-58,0,0,0,0,28.45,19.78,0,0,0.59,0,0.39,0,0,0,0.66,3.6,0.74,4.93,0,0.64,35.31,0,1.05,0.39,0,2.09,0,0
 60-70,0,0,0,0.94,13.15,62.1,0,0,0.94,0.85,0,0,0,0,1.68,0,0,1.65,0.85,0,38.16,0,0,0,0,2.11,0,1.05
 72-82,0,0,0,4.1,1.98,65.01,0,0.82,2.61,0,0,0,0,0,0,0,0,8.83,0,0,22.82,0,0,0,0,0.54,0,0
 84-94,0,0,0,1.44,3.24,62.44,0,0,1.55,5.86,0,0.77,0,0,0,0,0,4.31,0,0,17.16,0.9,0.87,5.43,0,0.59,0.78,0
 96-106,0,0,0,4.14,12.29,45.13,0,0,0,2.07,0,1.36,0,0,0,0,0,7.46,0,0,12.56,3.89,1.37,0.83,0,0,0,0
108-118,0,5.82,0,0.84,4.14,39.29,0,0,1.54,0,0,0.59,0,0.58,0,0,0,7.62,0,0,12.86,2.68,0.49,4.01,0,0,0,0
120,0,0,0,1,8.1,7.39,0,0,0,0,0,0,0,0,0,0,0,1.85,0,2.4,0,0,1.74,0,0,0,0,0
