stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,71.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.42,150.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.37,8.38,0,18.03,0,0,50.39,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,228.61,3.96,0,0,66.25,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.88,0,10.85,0,0,17.28,0,0,0,0,0,9.87,0,0,0,0,0,0,0,0,0,0,0,591.42,30.35,0,0,194.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.74,36.84,13.24,36.24,0,0,0,18.43,0.94,0,0.89,0,0,0,0.84,3.71,0,32.65,0,0,24.07,519,2.38,0,126.94,14.82,0,0,49.97,2.15,1.18,46.88,162.95,0,0,5.21,0,0
 24-34,0,0,0,0.62,7.31,0,33.44,0,0,0,8.65,1.67,0,0,0,1.03,0,3.21,0.77,1.41,63.13,0,0,28.5,637.89,1.36,0.81,387.21,0,1.61,2.21,0,2.45,0,6.83,133.36,0,0,10.74,0,1.32
 36-46,0,0,0,0,1.33,0.81,38.45,0,0,0,43.41,2.74,0,0.88,0,0,0.91,0,8.48,0,101.52,0,1.44,53.88,418.92,0.55,0.68,385.65,0,0,0.66,0,0.72,1.37,0,118.37,0,0,5.81,0,0.85
 48-58,0,0,0,0,1.3,0,34.72,0,0,0.47,58.43,0.46,0,1.35,1.02,0,0,2.8,3.34,0,141.22,0,2.05,79.02,193.76,0.49,0,363.01,0,0,1.69,0,0.53,0,0,95.85,0,0.42,3.26,0,0
 60-70,0,0,0,0,1.49,0,59.98,0.79,0,0,93.03,1.35,0,0,0,0,0.81,0,0,0,148.77,0,2.49,24.93,151.91,0,2.18,219.5,0,0,1.78,0,0.65,0.73,0,60.43,0,2.27,0,0,0.96
 72-82,0,0,0.56,0,10.32,0,46.2,0,0,0.5,63.46,0,0,3.42,1.6,0,0,3.78,0,0,152.79,0,2.68,20.59,98.34,0,0.58,314.79,0,1.05,0.53,0,0,0,0,23.34,0,4.07,2.21,10.02,0
 84-94,0,0,0,0,5.68,0.86,25.4,0,0,4.14,86.6,2.79,0,2.23,1.34,0,0.58,3.79,0,0,127.26,0,8.14,24.61,73.69,0,0,347.13,0,0,1.97,0,0,0,0,13.11,0.78,6.56,6.21,7.61,0
 96-106,0,0,1.08,0,22.68,4.45,42.41,0.89,2.29,0,84.65,0.8,0,3.32,0,0,0,5.24,0,0,170.79,2.32,8.55,31.24,108.96,2.15,0,461.61,0,1.82,0,0,0,0,0,42.03,0.82,4.59,4.55,5.13,0
108-118,0,0,0,0,10.3,5.01,23.42,0.64,0,6.71,71.38,0,0,1.42,2.52,0,6.6,4.07,0,0,131.45,1.14,7.49,27.86,130.1,1.71,1.74,374.42,0,2.51,1.82,0,0,0,0,17.7,0.43,0,1.72,3.92,5.13
120,0,0,0,0,6.61,0,34.92,0,2.78,4.92,62.33,3.38,0,0,1.53,0,1.62,0,0,0,87.03,0,3.78,12.91,92.76,0,0,263.62,0,1.79,0,0,0,0,0,13.07,0,0,0,4.8,0
