stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle
  3-4,42.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,12.62,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.47,0,0,0,5.33,6.84,0,0,0
 14-21,0,0,0,0,1.06,0,0,0,0,0,0,0,0.92,0,1.2,0.95,0,0,0,0,0,0,0.92,0
 24-34,0,0,0,0,1.06,0,0,0,0,0,0,0,18.36,0,0.75,4.87,0,0,0,0,0,0.69,0.62,0
 36-46,0,0,0,0,1.56,0,1.14,0,0.56,0,0,0,26.48,0,0,10.65,0.97,0,0,0,0,0,1.34,0
 48-58,0,0,0,0,6.85,0,1.31,0,0,0,0,0,37.42,0,3.43,12.35,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,74.05,0,6.12,5.72,0,0,0,0,0.85,0,3.17,0
 72-82,0,0,0,0,5.13,1.29,2.27,0,0,0,1.65,0,97.03,0,5.83,6.04,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,9.14,0,2.09,0,0,0,0,0,96.69,4.36,4.66,12,0,0.69,0.59,0,0,0,0,0
 96-106,0,0,2.14,0,3.52,0,2.09,0,0,0.84,0,1.06,146.97,1.43,7.89,23.38,0,0.59,0,0,0,0,0,1.26
108-118,0,0,0,0.89,2.05,0,0,0,0,0,0,0,150.06,2.16,4.82,6.86,0,0,2.98,0,0,0,0,0
120,0,0,0,0,0,0,0,1.38,0,14.75,0,0,197.43,0,18.61,13.99,0,0,0,0,0,0,0,0
