stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,14.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,3.5,0,0,0,0
 10-12,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.66,0,0,5.91,0,0,0,0
 14-21,0,0,0,1.07,3.82,0.97,0,0,0,0,13.4,1.08,0,0,0,0,0.85,19.68,0,0,0,0,3.27,0,6.98
 24-34,0,0,0,0.61,2.28,1.19,0,0,0,0,34.98,20.1,0,0.6,0,0,0,38.9,0,0,0,2.51,0.75,0,10.65
 36-46,0,0,0,0,0,0,0,0,0.93,0,30.64,2.85,0,0,0,0,0,24.33,2.77,1.31,0,0,6.7,0,4.13
 48-58,0,0,0,0,0,2.26,0,0,2.33,0,47.25,0.9,4.43,0.57,0,0,0.54,14.92,1.3,0,0,0.61,1.49,0,9.33
 60-70,0,0,0,0,0,5.25,0,0,0.87,0,48.62,2.43,0,0,0,0,0,14.55,0,0,0,3.18,9.09,0,10.81
 72-82,0,0,0,0,11.79,0.6,0,0,0,0.76,62.83,2.45,0,2.12,0,5.44,0,12.51,0,0,0,0,0,0,16.93
 84-94,0,2.2,0,0,6.58,1.66,0,0,1.53,2.61,102.91,1.37,0,2.54,0.57,0,0,4.19,1.84,0,0,0,11.87,0,20.71
 96-106,0,1.37,0,2.19,4.07,0,0,0,6.02,4.08,120.68,0.73,0.63,7.56,0,6.92,0,4.09,0.66,0,0,0.58,1.07,0,18.19
108-118,0,1.73,0,1.21,6.93,1.85,0.57,0,2.11,1.27,140.97,1.52,0,4.05,0,10.48,0,10.54,0,0,0,0,0.98,0,11.68
120,0,1.37,0,0,11.84,0,0,3.8,0,14.46,161.17,2.4,0,0,0,0,0,0,0,1.02,0,0,0,1.52,27.23
