stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,84.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,295.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.08,0,0,0,0,0,0,0,0,0,0
  7-9,4.3,3.64,0,0,0,23.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,3.56,0,0,66.01,0,0,0,0,0,0
 10-12,0,22.52,10.19,0,0,22.2,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,185.55,0,0,0,51.42,0,0,0,0,0,0
 14-21,0,0,1.27,4.37,0,2.57,0,0,0,1.21,0,0,0,0,0,0,0,2.15,0,0,35.16,1.84,0,0.95,0,0,1.8,14.28,12.38,0,0
 24-34,0,0,0,1.96,0,6.64,0,0,0,1.85,0.85,0,0,0,2.02,0,0.83,9.18,0,2.53,82.09,0,1.63,2.44,0,0,0,4.06,18.24,0,0
 36-46,0,0,0,4.42,1.12,7.06,0,0,0,9.94,0,0,0,0,0,1.07,0,21.26,0.98,1.1,63.27,0.67,0,1.56,0,3.68,0,0,14.66,0,2.15
 48-58,0,0,0,3.97,0,31.27,1.15,0,0.4,2.48,0,0,0,3.58,0,1.59,0,1.36,0,0,51.11,0,0,0,0,0,0,0,6.9,0,0
 60-70,0,0,0,8.46,0,27.32,0,0,0,2.55,0.63,0,0,0,0,0,0,4.1,0.69,6.67,78.88,1.03,0,0,0,6.98,0,0,5.69,0,0.71
 72-82,0,0,0,1.15,0,11.42,1.84,0,0.68,4.02,0.92,0,0.51,0,0,0,0,5.1,0,2.29,42.55,0,0,0,0,1.39,0,0,1.68,0,1.47
 84-94,0,0,0,2.5,0,4.65,0,0,5.98,2.19,0,0,0,0,0,0,0,7.5,0,0,10.94,0,0,0,0,2.22,0,0,12.44,0.77,2.3
 96-106,0,0,0,1.43,0,7.67,0,0,0,3.35,1.95,0,0,0,2.82,7.59,0,5.88,0,0,7.11,0,0,0,0,1.7,0,0,2.21,0,8.5
108-118,0,0,0,3.43,0,11.98,0,0.48,0,0.79,0,0,0,0,0,1.46,0,11.13,0,1.98,22.82,0,0,0.79,0,0.81,0,0,4.05,0,4.82
120,0,0,0,10.51,0,19.7,0,0,0,5.58,0,0,0,0,0,0,0,26.89,0,0,62.45,0,0,0,0,0,0,0,0,0,0
