stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,10.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.65,0,8.44,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,7.03,0,0,0,0,0,0,0,0,0
 14-21,0,1,5.57,0,0,1.19,0,0,2.26,0,0,0,22.89,0,0,0,0,0,1.94,0,6.07,0,0.8,0,0,1.07,0,0,3.66,0,0,0
 24-34,0,0,4.14,0,0,1.34,0,0.68,0,0,0,0,13.13,0,0,0,1.41,1.55,1.31,0.72,36.21,0,0,0,0,0,0,1.27,5.57,0,0,0
 36-46,0,0,0,0,0,3.48,1.13,0,0,0,0.56,0,0,0,0,0,0,4.7,0,0,80.78,3.04,0,1.69,0,0,0,0,15.97,0,0,2.68
 48-58,0,0,0.4,0,0,3.55,0,0,1.74,0,0,0,0.47,0,0,0,0,2.68,0,0.4,75.18,0.88,0,0,0,0,0.61,0,16.7,0,0,0.65
 60-70,0,0,0.72,0,0,20.05,4.47,0,4.83,1.28,0,0,0.86,0,0,0,0,8.46,0,0.82,105.92,0,0,0,1.33,0,0,0,13.69,0,0,0
 72-82,0,0,0.69,0,0,16.17,0,0,6.75,19.49,0,0,2.8,0,0,0,0,2.53,1.24,0,42.87,2.19,0,0,0,0,0,0,13.35,0,0,0.89
 84-94,0,0,8.29,0,0.81,14.56,0,0,22.53,41.89,0,0,5.07,9.63,0,0,0,10.51,0,0.75,22.12,0,0,0,0.56,0,0,0,8.87,1.63,0,0
 96-106,0,0,7.75,0,0.8,7.51,0.69,1.01,1.67,138.98,0,0,3.9,0,8.24,0.57,0,5.74,0.82,1.68,66,0,0,0,5.5,0,0,0,2.69,1.39,0.88,5.11
108-118,0,0,11.71,1.7,14.96,9.73,1.02,0,2.39,269.96,0,0.75,0,0,0,0,0,9.61,7.18,0,25.48,0,0,0.76,1.71,0,0,0,3.19,5.84,0,0
120,0,0,14.13,0,0,3.07,0,0,0,136.06,0,0,0,0,0,0,0,15.04,2.61,0,66.8,0,0,0,0,0,1.13,0,15.77,2.89,0,0
