stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.96,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,2.71,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,1.37,6.28,0,0,0,0,0,1.1,0,3.33,3.06,1.91,0,0
 24-34,0,1.41,0,4,6.77,0,0,0,0.67,0,0,0.72,0,0,0,0,0,0,14.42,21.5,0,0,0,0,0,0,0.65,22.76,6.76,4.68,0,0
 36-46,0,0,0,0.6,72.9,0,0,0.84,0,1.05,0,0,0,0,0,2.95,0,0,8.56,26.69,15.53,1.07,0,0,16.21,0,0,19.66,0,5.43,0,0
 48-58,0,5.41,0,21.01,61.5,0,0.86,3.69,0,0,0,0,0,0,6.11,7.85,0,0,9.81,85.92,0.56,0,0.71,0,0.48,0,0,17.53,0,11.62,0,0
 60-70,0,4.37,0,10.33,45.64,0,0,1.02,0,0,0,0.86,0.73,0,0,5.49,0,0.63,5.46,68.86,0,0,0,0,1.48,0,0,15.07,0,1.99,0,7.3
 72-82,0,0,1.11,45.97,14.09,0,0,3.16,0,0,0,0,0.83,0,0,6.9,0,0,1.35,46.54,2.85,0,0,0,0.78,0,0,3.14,0,4.29,0.7,0
 84-94,0,0.55,0,15.97,14.71,0.59,0,0.66,0,0,0,0,1.39,0,0,4.19,4.78,0,1.98,20.48,0,2.7,0,0,3.33,0,0,12.64,0,0,0.87,0
 96-106,0,0,3.35,15.68,26.18,2.14,0,4.42,0,0,1.91,0,0,0,0,12.71,0,0,3.6,36.65,0,0,0,1.61,15.26,0,0,10.26,0,0,0.69,7.86
108-118,0,0.76,0.52,14.13,6.27,0,0,1.54,0,0,0.98,0,0,0.7,0,8.62,4.11,0,4.83,21.53,0,0,0,0,0.56,0,0,7,0,0,0.44,0
120,0,0,0,7.4,13.79,0,0,9.53,0,0,0,1.89,0,0,0,0,0,0,0,11.48,0,0,0,0,0,0,0,3.65,0,0,0,0
