stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,0,0,0,0
  5-6,8.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0
  7-9,3.39,0,0,0,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.75,0,0,0,12.16,36.29,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.3,0,0,0,15.36,52.95,0,0,0,0,0,0,0,0
 14-21,0,0,2.11,22.84,0.94,0,0,0,0,0,0.82,0,4.97,0,0,0,0,1.13,4.14,0,0.9,13.39,0,0,0,0,1026.66,6.18,0,0,4.8,0,0,0,0
 24-34,0,0,0,36.25,0.94,0,1.98,0,3.25,1,0,0,2.41,0,0,0.65,1.24,18.49,8.74,0,3.07,116.33,0,0,0,0,1309.79,0,0,0.62,5.4,0,0,0,7.18
 36-46,0,0,0,37.5,0,0,9.2,0,3.57,0,0.72,0,0,0,0,0,0,5.89,6.72,0,0,86.73,3.24,1.4,0,0,1257.29,0,0,0,7.83,0,0,0,0
 48-58,0,0,0,22.58,0,0,20.86,0,12.05,9.96,1.36,0,3.58,0,0,6.87,4.96,6.01,9.75,0,3.08,90.05,0,0.5,0,0,1221.62,0,0.45,0,17.98,0,0,0,3
 60-70,0,0,0,38.62,0,0,19.17,0,7.67,1.34,0,0,8.73,0,0.73,0,0,3.75,4.39,0,1.01,29.02,2.09,0,0,0,748.75,0,0,0,5.14,1.44,0,0,0
 72-82,0,0,0,73.83,0,0,24.67,0,2.02,2.02,8.32,0,9.27,0,0,10.95,0,11.54,8.27,0,0.64,47.47,0,0.49,0,0,750.9,0,0,0,7.94,0.63,0,0,0
 84-94,0,0,0,123.49,5.61,0,23.28,0,22.14,3.28,8.96,0.8,28.73,2.41,0,1.84,0,11.97,11.36,0,0.71,33.33,0,0.9,1.85,0,1708.2,0,0,0,2.91,5.82,0,0,6.39
 96-106,0,5.6,0,229.31,10.37,1,40.55,0,28.45,18.75,16.12,0.65,21.61,0.67,5.2,0.76,0,20.81,13.86,7.41,0,52.93,0,3.26,0.73,0,1677.94,0,0,0,0,6.74,0,0.76,0
108-118,0,0,0,197.34,3.67,0,16.64,0.76,45.7,5.38,9.22,0.43,39.05,0,0,6.79,0,18.13,27.33,0.69,0.5,52.15,0,3.16,0.51,0,1796.68,0,0,0,4.72,11.17,0,0,0
120,0,0,0,207.77,0,0,5.55,0,45.64,8.95,11.2,0,24.27,0,0,0,0,9.19,17.49,0,0,27.28,0,5.57,0,0,1038.01,0,0,0,0,0,8,0,0
