stage,axial,blastomeres,endoderm,eye,lateral_line,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,xanthophores
  3-4,0,17.92,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,16.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.31,0,0,0,0,0,22.72,0,8.53,0,0,0,0
 10-12,0,0,15.59,0,0,0,32.91,12.18,0,0,5.62,0,0
 14-21,0,0,0,0,0,0,1.14,0,0,0,0,0.85,0
 24-34,0,0,0,0,0,0,1.42,0,0,1.5,0,0,2.7
 48-58,0,0,0,0,0,0,1.68,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.36,0,0,0,0,0,0,4.24
 72-82,0,0,0,0.83,0.64,2.14,2,0,0,0.49,0,0,0
 96-106,0,0,0,0,0,4.38,0,0,0,0.79,0,0,0
