stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3.26,35.83,0,1.13,0,0,0,11.33,0,0,0,0,0,0,0,0,4.36,0,0,5.24,104.66,13.84,0,0,0.95,0,0,4.84,0,0,7.17,72.74,0,0,0.96,0,0
 24-34,0,0.61,5.58,0,2.97,0,0,0,36.62,0,0,0,0,0,0,0,0,3.69,0,0,1.3,462.35,2.25,0,0,0,0,1.97,0,2.35,0,0,164.29,0,0,6.31,0,0
 36-46,0,0,0.69,0,3.58,0,0,0,61.57,0,0,0,0,0,0,0,0,14.79,0,0,1.58,612.82,0.56,0,0,0,0,2.02,0,1.03,5.23,0,158.78,0,0,5.57,0,0
 48-58,0,6.95,3.56,0,67.41,0,1.07,0.39,117.09,0,2.25,0,0,0,0.48,0,0,21.77,0,0,5.87,1147.58,3.18,0.88,0,0,0,0.94,0,13.36,7.62,0,200.05,0,0,2.15,0,1.04
 60-70,0,0,0.67,0,99.8,0,0,0,205.72,0,0,0,0,0,0,0,7.55,21.44,0,3.78,5.39,1804.1,0,0,0,0,0,3.79,0,0,7.77,0,256.94,0,0,1.5,7.11,0
 72-82,0.93,3.64,8.6,0,220.69,0,0,8.07,372.34,0,0,0.49,0.66,0,0,1.36,0,36.03,0,6.76,3.13,2459.62,0,1.33,0,0,0,0,0,3.4,2.97,0,257.34,0,0.73,2.74,25.94,0
 84-94,0.7,9.49,2.57,0,133.73,0,2.16,1.61,281.96,0,1.78,0.84,2.63,0,0,2.93,0,20.1,4.13,3.58,2.34,1633.6,4.66,0,1.69,0,0,1.42,0,0,1.88,0,144.61,0,2.89,2.04,63.11,0
 96-106,0,10.25,27.86,2.1,233.94,3.3,20.13,0,356.18,1.38,0,1.91,0,0,1.93,9.66,0,52.15,0,5.85,4.45,1911.07,0.75,0,3.14,0,0.83,10.02,0,0.73,1.38,0,88.86,0,2.06,0,31.04,0
108-118,0,31.46,2.57,0,183.11,1.78,0,0,359.29,3.67,0,1.42,0,1.11,0,5.53,0,32.86,0.93,10.23,6.86,1744.71,0,0,2.5,0,5.97,1.13,0,1.69,3.33,0,83.92,3.42,8.25,1.17,35.12,0
120,0,45.56,4.12,0,150.07,0,1.21,3.99,558.35,2.93,0,0,0,0,0,5.2,0,52.45,0,23.08,0,2497.26,2.33,0,2.57,0,0,3.02,0,0,0,0,77.33,0,0,0,70.31,0
