stage,epidermis,glial,mesenchyme,muscle,neural,otic
 14-21,0,0,1.32,0,0,0
 36-46,0,0,0,0,0,1
 48-58,0,0,2.18,0,4.94,0
 60-70,0.61,0,0,1.08,0,0
 84-94,0,0,0.93,0,0,0
 96-106,0,0,1.46,0,0,0
108-118,0,1.36,0,0,0,0
