stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.96,23.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.99,0,0,0,0,0,0,0,0,0
  5-6,0,37.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,0,0,0,0,0,8.24,0,0,0,16.64,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,433.9,0,0,0,0,42.37,0,0,6.09,0,0,0,0,0,1.95,0,0,0,0.96,0,0,0,0,0
 24-34,0,0,0,0,4.5,0,0,8.81,0,0.92,0,0,0,0,0,4854.26,7.15,0,0,6.29,794.83,0,10.2,137.23,2.17,11.61,0,0,0,36.93,21.59,0,1.31,9.88,0,0,1.49,0,0
 36-46,0,0,0,0.96,178.81,2.46,0,17.62,0,17.1,0.56,0,0,0.93,0,4416.86,0,0,0,5.58,651.29,0,0.75,97.67,0,1.06,0.74,0,0,10.22,33.57,0,0,16.77,0,0,14.08,0,0
 48-58,0,0,0,0,129.17,0,0,11.3,0,0,4.55,2.96,0,0.48,6.14,1714.28,0,0,84.25,10.95,302.08,0,0,103.75,0,0.9,0.49,0,0,48.68,2.93,0,0,20.92,0,0,2.92,0,5.34
 60-70,0,0,0,0,125.45,0,0,18.76,0,17.73,6.1,0,0,0,0,1358.34,0,0,0,3.3,147.36,0,0,32.82,0,0,0,0,0,36.24,3.83,0,0,5.9,0,0.57,1.66,0,0
 72-82,0,0,0,0,12.37,6.64,0,32.51,2.62,39.36,6.82,19.5,0,0,0,1193.33,0,0,2.73,5.36,131.4,1.12,2.8,39.4,0,5.79,0,0,0,4.94,0,0,0,6.12,0,0,0,0,0
 84-94,0,0,2.82,0,221.93,3.42,0,3.81,0,3.23,2.51,1.92,0,0,3.73,810.57,0,0,0,8.3,306.14,0,0,4.68,1.45,9.3,0,0,0,18.2,5.73,0,0,5.23,0,0,1.25,0,9.28
 96-106,0,0,0,0,336.82,0,1.07,27.6,0,9.22,16.72,18.1,0,0.62,0,1329.61,0,0,0,15.09,298.31,0,4.91,43.09,0,0.7,1.58,0,5.75,15.04,1.27,0.6,0,0,9.15,0,3.24,3.22,6.82
108-118,0,0,0,0,282.79,2.8,4.19,17.08,0,32.03,7.35,0,0,0,0.59,1529.79,0,2.87,0,17.15,168.35,0,0.54,32.43,0,0,0,0,0,4.06,0.59,0,0,1.84,0,0,0,0.69,0
120,0,0,0,0,187.23,1.46,0,0,0,3.45,0,0,0,0,0,1164.03,0,0,5.5,0,39.73,0,0,23.8,0,0,0,0,0,8.28,1.91,0,0,0,0,0,0,0,8.45
