stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,lateral_line,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,86.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,102.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.75,0,0,0,0,0,0,0,0,0,0,60.12,0,37.5,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,20.92,0,4.02,0,0,14.26,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.14,0.98,6.87,0,0,0,1.34,21.09,1.88,3.47,0,0,0
 24-34,0,0.7,0,0.71,0,0,0,0,0,1.49,1.7,5.86,1.36,0,0,0,75.18,0,2.43,0,0,0
 36-46,0,0.57,0,2.38,0,0,0,0,0,1.86,0.72,26.3,0,0,1.36,0,46.58,0,0.92,0,0,0
 48-58,0,0,0,8.16,0,0.88,0,0,0,2.36,0,16.48,0.44,0,0.89,0,41.04,0,0,0,0,0.83
 60-70,0,0,0,6.27,0,1.81,8.13,0,0,2.94,0,7.57,0,0,2.58,0,14.08,0,0,0,0,0
 72-82,0,0,6.19,15.09,1.27,0.78,0,0,0,3.81,0,13.65,0.58,0,0,0,17.14,0,0,0,0,0
 84-94,0,0,0,5.59,0,1.09,0,0,0.78,0.61,0,5.21,0,0,3.01,0,24.53,0,4.97,0.71,0,0
 96-106,0,2.14,1.34,3.83,0,0.72,0.85,0.67,0,2.37,0,0,0,0,0.72,0,27.89,0,0,0,0,4.18
108-118,0,0,0.51,1.87,0,8.39,0,0,0,2.76,0,16.49,0,0,0,0,25.82,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,3.71,6.87,0,0,1.04,0,42.71,0,0,0,2.01,0
