stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.09,0,0,0,4.46,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.91,8.96,0,0,0,0,0,0,0.9,0,0,0,0,0,0,6.57,0,0,0.82,1.77,9.74,0,0,0,0,3.58,4.3,0,7.35,1.97,0,0,0,0,0
 24-34,0,0,15.03,0.87,0,1.69,0,1.03,0.67,0,0,0,0,0,0,0,15.18,0,0,7.81,24.9,24.77,2.52,0,0,0,12.14,0,2.12,0,12.74,0,0,1.06,0,0
 36-46,0,0,17.63,0,0,9.96,0,3.33,4.82,0,0,0,6.62,0,0,0.61,19.78,1.36,0,5.79,48.39,11.48,0,0.57,0,0,9.62,0,0,0,7.17,0,0,3.61,0,0.67
 48-58,0,0,2.55,0,0,3.24,0,1.29,6,2.73,0,0,6.13,0,1.39,0.54,18.2,5.04,0.5,0,46.98,11.6,0,2.28,0,0,8.05,0,0,0,4.2,0,0,0,0,0
 60-70,0,0,3.43,0,0,11.44,0,1.77,9.09,2.58,0,7.84,0,0,0,0,40.21,3.18,0,0.89,48.9,1.12,0,3.9,0,0,2.16,0,0,0,1.6,0.81,1.56,0,0,0
 72-82,0,0,2.21,0,0,36.83,0,0,4.1,4.32,0.88,0.5,0,0,0.94,0,64.57,1.95,0,0.57,72.71,7.68,2.26,2.51,0,0,12.51,0,0,0,12.61,1.68,2.22,0.68,2.25,0
 84-94,0,0,7.81,0,0,41.25,0,1.24,4.51,4.09,0.64,0,0,0,2.78,0,82.4,1.18,0,9.04,80.84,2.79,1.04,0.65,0,0,23.76,0,0,0,0,2.45,0,0,0,0
 96-106,0,0,2.24,0,0,43.52,2.14,0,6.37,7.23,3.14,0,1.54,3.02,0,0,45.54,1.34,0,2.63,54.54,0.7,1.23,0.68,0,0,9.04,0,0,0,4.5,0.61,1.48,0,1,0
108-118,0,0.98,4.82,1.36,2.41,76.08,0,1.72,11.26,10.5,2.39,0.78,0,0,7.09,0,67.7,5.21,1.19,3.65,85.52,5.6,0.89,5.05,0,0,3.45,0,0,0,21.93,1.44,0,1.49,0,0
120,0,0,3.56,0,0,26.11,0,0,0,11.55,0,0,0,0,7.37,0,28.25,0,0,1.2,127.55,3.58,0,5.75,0,5.9,0,0,0,0,4.09,0,0,2.19,0,0
