stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.8,0,0,0,73.41,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,4.59,0,0,4.35,0,0,0,0,0
 14-21,0,0,0,0,0,3.4,0,0,0,0,0,0,1.08,0,0,0,0,0,17.47,0,0,0,0,0,0,2.25,0,0
 24-34,0,0,0,0,0,1.65,0,3.23,0,0,0,0,0,0,0,0,0,0,148.93,1.96,0,0.65,0,0,0,24.15,0,0
 36-46,0,0,0,0.62,0,3.69,0,2.5,3.29,0,0,0,0,0,0,0,0,0.71,252.33,0,0,0.62,0,0,0,61.98,0,0
 48-58,0,0,0,0,0,9.56,0,6.59,1.79,0,0,0,0,0,0,0,0.97,0.63,363.56,0,0,3.94,0,0,0,67.54,0,0
 60-70,0,0,0,0,0,22.45,0,3.95,1.54,0,0,0,0,0,0,0,10,0,282.12,0,0,5.67,0,0,0,32.59,0,0
 72-82,0,0,0,1.24,0,27.26,0,0,4.79,0,0,0,0,0,0,0,7.2,0,599.12,0,0,3.53,0,0,0.59,35.07,0,0
 84-94,0,0,0,1.87,0,50.44,0,0,7.88,0,0,0,0,1.35,0,0,5.71,0,381.98,0,0,18.12,0,0,0,34.62,1.09,0
 96-106,0,0,0,5.1,1.54,48.33,0,0,6.91,1.13,0.87,0,0,0,0,0,0.91,0,484.67,0.7,0,5.73,0,0,0,24.86,0,11.74
108-118,0,0,0,5.62,0.51,64.33,0,0.43,9.39,0,0,0,0,0,0,1.66,4.35,0,584.53,1.71,0.99,12.17,0,0.91,0,5.44,0,0
120,0,0,0,0,1.96,69.34,7.22,0,0,1.31,0,4.22,0,0,5.02,0,16.1,2.09,1031.95,0,0,4.36,0,0,0,45.29,0,0
