stage,axial,blastomeres,endoderm,epidermis,eye,glial,ionocyte,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,slow_muscle,somites
  3-4,0,90.16,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.97,120.14,0,0,0,0,0,0,0,0,0,9.33,0,0
  7-9,0,0,9.41,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.98,0,0,0,0,0,0,14.62,3.69,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.89,0,0,3.1,1.13
 24-34,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.94,0.72,0.86,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,2.76,0,1.39,0,0,0,0
 72-82,0,0,0,4.41,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.49,0,0,0,0
 96-106,0,0,0,10.89,0,0,0,1.71,0,0,0,0,0,0
108-118,0,0,0,7.64,19.03,1.7,0.65,1.05,0,7.41,0,0,0,0
120,0,0,0,11.33,0,0,0,0,0,9.09,0,1.68,0,0
