stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.18,1936.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.22,0,0,0,0,0,0,0,0,0
  5-6,102.8,1106.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.14,7.94,0,0,17.47,30.85,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.97,0,0,0,0,0,0,0,0,0,0,60.69,7.54,0,0,53,0,35.03,0,0,0,0,0,0,0,0
 10-12,0,4.98,6.89,0,6.22,0,22.09,0,0,0,16.61,0,0,0,0,0,0,0,0,0,0,172.42,3.72,0,0,49.87,0,11.7,0,4.44,0,0,0,0,0,0
 14-21,0,0,0,12.26,5.43,0,1.79,0,4.49,0,4.56,1.66,1.04,0,0,0,0,5.19,0,0,5.05,71.69,0,1.22,0.88,0.98,2.73,0,4.14,0,1.89,14.24,0,2.31,0,0
 24-34,0,0,0,5.41,0,0,15.54,0,4.76,0,0,0,8.46,0,0,0.78,0,11.99,0.76,0,8.54,166.07,0,0.6,2.12,0,3.38,0,0,0,0,33.28,0,17.82,0,0
 36-46,0,0,0,0.78,0,0,51.45,0,6.36,0,0,1.59,9.85,0,0,0,0,13.13,0,0,5.78,85.95,0.64,0,0,0,3.63,0,5.49,0,0,19.68,0,7.04,0,0
 48-58,0,0,0,2.03,0,0,25.81,0.99,12.98,0.64,0,1.67,5.03,0,0,0.49,0.37,10.14,0,0,10.09,50.86,1.18,0,0,0,0.77,0,0,0,0,6.31,0,7.82,0,3.98
 60-70,0,0,0,7.43,0,0,17.55,0,11.69,0,0,0,25.88,0,0,0,0,13.65,0,2.77,7.35,29.73,0.93,1.22,0.69,0,2.43,0,0,0.62,0,6.58,0,9.29,0,0
 72-82,0,0,0,0.99,0,0,8.15,0,9.23,0.53,0,1.39,4.01,0.63,0,0.97,0,22.89,0,0.67,0,21.26,0,0,0,0,0,0,0,0,0,2,0,11.13,0.71,0
 84-94,0,0,0,3.7,0,0,8.31,0,9.21,1.73,0,0,19.94,0.82,0.7,0.78,0,12.58,0,0.82,2.05,24.19,2.69,0,0,0,3.78,0,0,0,0,0,0,20.38,2.94,0
 96-106,0,0,0,0,0.96,3.72,14.01,0,9.48,0,0,0.99,19.28,0,0.69,0,0,6.7,0,0.98,4.93,9.49,0,0,0,0,5.45,0,0,0,0,0,0,8.24,1.88,0
108-118,0,0,0,3.38,0,0,7.9,0,21.55,0.63,0,0.43,19.43,0.49,0,0,0,9.69,0,0,0,23.52,0,0,0.89,0,0.42,0,0,0,0,2.21,0.42,6.71,0,0
120,0,0,0,17.4,1.32,0,20.68,0,30.74,4.01,0,0,9.73,0,0,0,0,3.97,0,9.54,4.81,27.81,0,0,0,0,0,0,0,0,0,0,0,19.88,0,0
