stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.65,977.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0,0,0,0,0,0,0
  5-6,57.36,1082.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,0,18.73,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.97,0,14.47,0,0,12.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.85,11.54,0,0,36.37,0,0,5.15,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.19,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.15,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,22.14,0,22,0,0,0,1.88,0,0,0.92,0,0,0,0,0.88,2.22,0,4.67,47.81,1.81,0,1.04,0,0,0,0,2.46,2.77,1.85,7.47,0,0,1.77,0,0
 24-34,0,0,0,0.59,34.49,0,56,0,2.41,0,1.33,0.74,0,0,0,0,0,8.38,0,5.52,0,6.25,145.2,0.73,0.72,2.36,0,0,0,0,0,5.63,3.61,29.99,0,0,1.08,0,0
 36-46,0,0,0,0,13.11,0,59.49,0,3.2,0,19.3,0,0,0.82,0,0,0,0.57,0,6.93,0,7.76,294.75,0.78,0.63,11.1,0,0,0,0,0,0.59,0,75.54,0,0,4.33,0,0
 48-58,0,0,0.54,1.75,8.48,0,52.45,0,2.39,0,24.51,0,0,0,0,0,0,3.36,3.49,16.09,0,8.67,401,2,0,9.41,0,0.73,2.22,0,0,2.62,0,87.16,0,0,0.43,0,0
 60-70,0,0,0,0,11.06,0,100.47,0,5.86,0.77,50.27,0,0.89,0,0,0.62,0,2.71,0,77.18,0,2.46,949.22,0.68,0.81,5.95,0,0,0,0,0,1.95,0,137.57,0.61,0,1.6,0.81,3.58
 72-82,0,0,0,0,11.11,9.22,124.68,0,3.7,0,39.72,0.71,0,0,0,0,0,9.75,0,82.32,2.6,5.42,924.1,0,0,12.08,0,0,0,0,0,0,0,102.62,0,3.29,2.86,0,0
 84-94,0,0,0,0,24.66,0,125.88,1.38,4.84,1.27,24.44,0,0,3.08,0.64,3.69,2.93,9.69,0,79.72,1.89,12.69,733.52,1.84,2.79,5.29,0,0,1.32,0,0,4.01,0,94.03,0.6,1.37,3.23,0,0
 96-106,0,0,0,0,19.32,5.22,56.21,0,2.23,0,32.68,0,0,1.57,0,0.66,1.5,6.99,0,84.09,0,2.45,434.91,0,1.74,5.3,0,0,1.04,0,0,0,0,25.35,1.33,0.88,2.24,0,0
108-118,0,0,0,0.45,19.83,0,94.53,1.04,7.69,0.8,43.88,2.21,0,0,0,3.36,5.41,13.17,0,106.58,0,5.96,546.39,0.42,9,4.8,0,3.85,0.79,0,0,1.57,0,32.35,0.5,2.36,2.97,3.04,2.03
120,0,0,0,0,20.74,10.56,147.77,0,2.71,0,53.7,3.9,0,0,0,0,0,27.71,0,122.18,0,5.51,813.27,0,2.2,18.05,0,9.21,2.69,0,0,4.24,0,28.52,1.99,0,4.78,18.94,0
