stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,vasculature,xanthophores
 14-21,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,1.54,0,2.05,0,0
 24-34,0.65,0.82,0,0,0,0,0,0,0,0,2.34,0,0,0,0,0,0,11.39,0,0.67,0.64,1.58,0.67,0.9,0,0.79
 36-46,0,0.61,0,1.14,0,0,0,0,0.56,0.57,0.58,0,0,0,0,0,0.63,11.31,0,1.02,0,2.05,0,4.34,0,0
 48-58,0,0.48,0,1.76,0.58,0.44,0,0.72,0,0,0.83,0.42,0,0,1.06,0,0,11.29,0,0,0.88,0.64,0,4.72,0.52,0
 60-70,0,0,0,0.64,0,0,0,0,0,0,0.71,0,0,1.14,0,0,0,14.19,0,0,0,3.89,0,2.92,0,0
 72-82,0,0.69,0.58,2.09,0,0,3.28,2.38,0,0,0,1.04,0,0,0.7,0,0,15.33,0,2.5,0,5.6,0,2.04,0,1.15
 84-94,0,0.55,0,0.77,0,0.63,0,0,0,1.33,1,0,0,0,2.26,0,0,20.04,0,0,0.65,2.29,0,0,0,0.8
 96-106,0,3.28,1.5,5.01,0,2.11,0,1.26,0.93,0,0.86,0,0,0,1.63,0,0,18.4,1.64,0.57,1.08,5.77,0,0,0,0
108-118,0,3.58,0,9.01,0,1.28,0,0,1.51,0.82,0,0.98,4.03,0,4.05,0.44,0,2.42,0,1.83,1.78,3.31,0,0,0,0
120,0,6.64,0,1.6,0,0,0,0,4.66,0,2.36,0,0,0,0,0,1.59,0,0,5.63,1.5,4.31,0,0,1.84,0
