stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.07,175.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.08,774.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.03,0,0,0,13.81,24.11,0,0,0,0,0,0,0,0,0,0
  7-9,70.67,46.83,0,50.89,0,0,0,83.54,0,0,0,0,0,33.1,0,0,0,0,0,0,0,0,0,0,806.9,7.41,0,0,231.64,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.65,0,61.58,0,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555.08,6.58,0,0,204.75,0,0,96.13,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.8,13.44,7.14,0,14.26,0,0,0,7.3,0,1.35,0.96,0.91,0,0,0,2.77,0,15.39,0,10.37,223.53,4.26,0,1.25,6.75,2.07,39.15,2.32,8.62,33.08,69.19,0,0,2.35,0,0
 24-34,0,0,0,0,1.08,0,0,24.72,0,0,0,2.75,1.87,0,0,1.35,1.24,0,0,0,0,9.04,0,2.69,146.23,0,0,0.68,0,2.63,0,0,2.31,4.39,27.73,0,0,0,0,0
 36-46,0,0,0,0,0.6,0,0,44.12,16.74,0,0,4.81,0,0,0,11.26,0,4.15,0,0.57,0,7,0,5.04,163.83,0,1.86,1.92,0,0,3.29,0,12.26,1.6,26.72,0,0,0.75,0,20.79
 48-58,0,0,0,0,0.81,0,0,127.06,14.53,0,0,15.05,0.39,0,0.38,7.96,0,0,0,0,0.46,12.34,0,3.05,197.17,0,1.6,0,0,0.83,0,0,7.47,0,21.39,0,0,2.75,0,10.08
 60-70,0,0,0,0,0,0,0,67.81,7.83,4.52,0,4.63,0.62,0,0,38.19,0,0,0,0,0,5.32,0,1.65,111.75,0,0,0,0,5.79,0,0,4.36,0,0,0,0,6.72,0,0
 72-82,0,0,0.56,0,1.38,6.11,0,73.35,0.5,0.7,0,49.82,0.75,0,0,6.13,0,0,0,0,0,16.76,0.71,2.64,358.54,0.58,1.48,1.75,0,0,0,0.64,3.71,0,8.85,0.69,1.14,0,0,1.38
 84-94,0,0,0.66,1.01,10.19,9.41,1.48,111.96,3.1,0,0,15.94,2.3,0,0,5.07,0.73,0,0.83,0,0.83,15.21,0,2.31,266.33,0,0,5.42,0,2.28,0,0.56,1.28,0,7.28,0,0,6.91,6.03,0
 96-106,0,0,0.99,0,5.24,0.79,0,42.54,3.81,0,0.57,10.02,0,0,0,35.55,1.06,0.74,0.77,0.76,0,19.54,1.73,4.65,302.72,4.18,6.58,0.56,1.2,0,0,2.54,2.94,0,4.09,0.82,0,10.66,0,0
108-118,0,0,1.81,0,0.53,1.95,0,74.49,1.53,3.7,0,35.54,1.84,0,0,37.64,5.19,0,0,0,0,10.73,1.08,2.69,537.69,0,5.8,4.84,0,6.74,0,0,3.8,0,1.12,2.47,0,3.93,0,0.98
120,0,0,0,0,8.92,5.58,0,53.01,7.86,0,0,42.74,1.13,0,0,50.59,0,1.11,0,2.14,0,14.5,5.26,0,749.32,0,0,3.61,0,10.13,0,0,2.33,0,0,1.94,0,4.82,0,0
