stage,blastomeres,epidermis,neural,paraxial_mesoderm,spinal_cord
  3-4,96.87,0,0,0,0
  5-6,55.43,0,0,0,0
  7-9,0,0,18.77,6.08,0
 10-12,0,0,14.78,9.59,0
 14-21,0,0,0,0,0.92
 84-94,0,3,0,0,0
