stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,80.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.1,59.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.61,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.49,0,0,0,5.59,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.35,0,0,0,3.05,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.69,1.3,5.64,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0.88,0,0,3.54,60.21,0,7.83,0,0,0,7.35,0,2.01,0,17.84,20.81,0,0,0,0,0
 24-34,0,0,0.81,0,1.73,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454.63,0,10.1,0,0,0,0,0,0,0,0,53.7,0,0,7.88,0,0
 36-46,0,0,0,0,0,0,0,22.16,0,0,0,19.53,0,0,0,0.56,1.56,0,3,0,0,1.61,1239.95,0,2.8,0,0,0,0,0,0,7.4,0,151.94,0,0,0,0,2.33
 48-58,0,0,0,0,0.85,0,0,80.65,0.58,0,0,63.65,0,1.35,0,0,0,0,18,0,4.89,22.74,1914.86,0,1.39,0,0,0,3.28,0,0,0,0,238.19,0,0,0.77,0,1.53
 60-70,0,0,0,0,1.15,0,0,187.68,1.86,4.82,0.64,81.33,1.86,0.7,0,0,0,4.38,13.33,0,0,11.64,2980.87,0,3.61,0,0,0,5.61,0,0,4.51,0,283.17,0,0,1.08,0,12.39
 72-82,0,0,0,0,12.45,0,0,215.01,0,0,0,48.36,0.53,0,0,0.79,3.87,0,19.4,0,0,2.65,2780.11,0,1.67,3.41,0,1.4,0,0,0,0,0,228.43,1.44,0,1.7,0.96,0
 84-94,0,0,0,0,9.83,1.99,0,213.78,0,0,0.67,33.57,0.78,1,1.87,0.69,4.71,5.31,19.18,0,4.04,0.75,2082.17,0,1.39,2.04,0,0,2.49,0,0,0,0,155.06,0.9,0,0,0,0
 96-106,0,0,0,0,6.87,18.96,0,149.26,0,0,0,38.55,3.7,3.86,0,1.99,21.47,0,22.28,0,0,2.01,1855.62,0,4.68,0,0,0,0.6,1.35,0,0,0,82.9,5.43,0,0,0,3.58
108-118,0,0,1.59,0,9.77,4.26,4.22,146.92,0,0,0,45.92,1.09,0.91,0.5,1.82,0,0,20.73,1.08,0,3.61,2600.14,0,0,0.87,0,0,7.13,0,0,0,0,50.94,0,1.44,0,0,0
120,0,0,0,0,23.36,1.49,0,188.41,0,0,0,29.4,8.16,3.69,0,0,0,0,43.57,0,0,9.12,3471.13,3.33,3.09,0,0,0,1.97,0,0,0,0,74.11,0,0,12.3,0,0
