stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,110.03,3842.04,0,0,0,0,0,0,0,0,0,0,0,0,0,140.95,0,0,0,0,0,0
  5-6,239.67,3913.29,6.55,0,0,0,0,0,0,0,0,112.2,64.79,0,70.97,98.9,0,0,0,0,0,0
  7-9,55.64,112.26,68.81,0,0,204.88,0,98.49,0,0,0,1835.54,31.93,0,669.68,17.1,37.56,0,0,0,0,0
 10-12,0,25.82,40.92,0,0,76.82,0,10.29,0,0,0,560.24,0,0,174.55,0,15.51,0,0,0,3.11,0
 14-21,0,0,0.9,12.2,0.95,0.87,1.34,0,2.42,0.99,1,19.87,1.04,0,0,1.6,1.44,3.7,0.86,0.86,4,12.07
 24-34,0,0,0,0.97,0,0,0,0,0,2.15,0.66,1.8,0,0,0,0.91,0,0,0,0,0.71,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.65,5,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.55,0,1.44,0,0.5,0,1.04,0.39,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,2.43
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.36,0,0,0,1.4,0,0.8,0,0.6,0,0,0,0,0,0,0,0
108-118,0,0,0,0.55,0,0,2.58,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,1.9
120,0,0,0,0,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0
