stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,191.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.73,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,75.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.47,0,17.29,0,0,0,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.34,6.48,0,0,5.41,0,0,5.74,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,0,0,0,11.83,0,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.06,0,0,0,43.29,0,0,0,0,3.37,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.22,1.75,0,7.76,0,0,0,1.26,0.98,0,0,1.16,0,0,0,0,5.51,0,0,5.83,40.11,2.75,0,1.02,0,0,0,0,2.5,6.54,0,0,13.26,0,0,0,0,1.44
 24-34,0,0,0,0,17.5,0.84,0,37.75,0,2.65,0.74,2.52,0,0.69,0,1.18,1.17,0,1.48,5.06,22.8,0,0,8.51,109.09,2.19,0,6.48,0,0,25.89,0,0,9.31,0,5.55,32.72,0,0,0.63,0,3.2
 36-46,0,0,0,0,19.47,0,0,81.54,3.75,0.84,0.71,5.9,0,0,0,0,0,0,0,1.89,25.69,7.76,0,6.63,85.76,0.61,0.68,0.66,0,0,69.56,0,0,4.95,0,0,17.61,0,0,4.62,0,0.65
 48-58,0,0,0,0,16.09,2.85,0,138.02,10.32,7,2.91,14.8,0.44,0.51,0,0,0,2.28,0,8.83,33.4,3.31,0.84,2.42,89.57,0,0,1.37,0,0,16.87,0,0,4.14,0,0,11.2,0,0,12.44,0,17.27
 60-70,2.52,0,0.62,0,13.92,12.16,0,720.44,4.07,3.23,1.31,19.96,1.84,1.63,0,0,1.52,4.62,0,9.39,46.35,0,2.17,6.2,102.82,0,0,0.91,0,1.33,47.19,0,0,3.7,0,0,17.35,0,0,4.94,0,14.45
 72-82,0,0,0,0,15.55,134.33,0,1027.77,0.82,1.27,13.09,84.79,8.7,6.84,1.09,3.21,9.28,8.8,2.2,4.96,110.78,0,4.37,8.04,179.91,0.52,1.38,11.03,0,2.1,14.91,0,0,11.73,0,0,7,0,0.99,10.65,1.18,25.57
 84-94,0,0,5.57,0,25.18,137.56,4.48,795.22,0.69,8.59,2.34,70.66,18.72,0,1.03,2.67,8.62,11.63,10.23,11.26,102.03,1.81,2.66,7.77,112.6,0.83,0.8,7.17,0,0,73.03,0,0,5.15,0.59,0,17.18,0.69,2.94,7.95,13.83,37.46
 96-106,0,0,4.88,0,52.01,333.04,4.46,1048.96,5.83,8.56,8.01,101.69,23.09,0,0.57,4.52,9.98,19.13,11.43,5.43,131.68,6.5,7.25,10.79,130.2,2.34,3.46,17.97,0,8.08,45.26,0,0,3.36,0,0,15.68,0.59,0,22.24,4.48,3.62
108-118,0,0,3.49,0,51.4,78.31,4.14,859.24,1.05,16.31,3.08,106.1,16.31,0.88,0.66,5.31,16.63,15.77,14.63,15.83,152.71,0.54,16.38,20.35,214.47,1.31,3.42,16.98,0,1.05,40.52,0,0,17.1,0,0,9.69,1.86,2.14,12.95,9.54,12.17
120,0,0,0,0,50.24,147.83,0,665.86,4.96,10.96,18.14,116.61,13.18,0,20.34,5.71,4.94,14.98,10.29,1.6,180.48,0,6.22,2.86,204.95,0,0,10.84,0,0,15.93,0,0,8.72,5.59,0,12.42,0,13.2,63.5,0,0
