stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,40.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69,0,0,0,0,0,0,0,0,0
 10-12,6.14,3.04,0,0,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.77,0,0,0,12.08,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69,0,0,0,0,5.62,0,1.82,0,0
 24-34,0,0,0,0,0,1.7,0,0,0,1.45,0,1.21,0,0,0,0,0,0,0,0,0,81.66,0,0,0,0,7.35,0,13.93,0,0
 36-46,0,0,0,0,0,0.88,0.68,0,0,14.03,0,1.84,0,0,0.57,0,0,0,0,0,0,183.03,0,0,0,0,22.57,0.79,57.79,0,0
 48-58,0,0,0,0,0,25.64,1.14,0,0,51.9,0,0.51,0,0,0,0,0,2.62,0,0.52,1.43,271.56,5.12,0,0,0,9.3,9.92,89.4,0,0
 60-70,0,0,0,0,0,93.86,1.34,0,0,43.63,0,0,0,0,0,0,4.76,0.73,0,0,1.81,463.26,0,2.05,0,0,22.59,0,80.21,0,0
 72-82,0,0,4.88,0,0,85.01,0,0,0,57.58,0,0,0,0,0,0,0,2.18,0,0,0,578.33,0,0.77,0,0,11.14,0,45.77,0.75,0
 84-94,0,0,11.98,0,0,84.5,2.2,0.63,0,24.51,0,0,0,0,0,0,0,0,0,0,1.49,349.67,0,2.78,0,0,47.52,0,37.66,0,0
 96-106,0,0,10.72,8.5,0.8,58.73,4.32,0,10.74,28.52,0,0,1.14,0,0,9.42,0,0.97,0.83,0,0.63,293.61,0,0,4.96,0,59.01,0,15.41,1.96,0
108-118,0,0,14.61,0,7.78,50.5,0,0.49,0,21.17,1.11,0,1.79,1.01,0,0,0,1.83,1,0,0.95,287.45,0,0,0.54,0,52.5,0,7.36,0.85,1.03
120,0,0,10.3,0,0,116.26,0,1.09,0,26.15,0,0,0,0,0,0,0,10.96,0,8.33,1.93,348.18,0,0,0,0,48.21,0,1.95,0,0
