stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,gut,immune,iridophores,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,18.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6.08,0.82,0,0,0,0,0,0,0,0,1.16,5.5,0,0,0.87,1.41,0
 24-34,0,9.51,0,0,1.88,0,0,0,0.8,0,0,9.53,0,0,2.22,0,0,0
 36-46,0,10.87,0,0,0,0,0,0,0,0,0,2.97,0,0,1.87,0,1.31,0
 48-58,0,0,0,0,1.2,0,0,0.39,1.17,0,0,2.12,0,0,0.59,0,0,0
 60-70,0,5.2,0,3.58,8.31,0,1.88,0,0,0,0,0,0,0,5.26,0,0,0
 72-82,0,0,0,1.38,0,0.73,0.68,0,0,0,0.73,2.43,0,0,0.86,0,0,0
 84-94,0,2.19,0,6.42,1.96,0,0,0,1.99,0,0,0,0,0,0,0,0,2.1
 96-106,0,0,1.15,0.6,0,0,0.96,0.73,0,0,0,0,0,0.73,3.37,0,0,0
108-118,0,3.16,0,6.43,1,0.63,2.03,2.88,0,0.42,0,0,0,0,0.89,0,0,0
120,0,15.27,0,0,0,2.27,19.28,0,0,0,0,4.27,0,0,0,0,0,0
