stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,45.16,1458.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.63,0,0,0,0,0,0,0,0,0,0
  5-6,43.7,201.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.99,0,0,0,0,0,0,3.75,0,0,0,0,0,376.34,0,0,0,0,0,0,0,0,0,0,30.78,0,0,0,18.24,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.92,0,15.51,0,16.41,0,4.05,0,0,0,0,0,462.03,0,0,0,0,0,0,0,0,0,0,90.39,25.45,0,0,4.28,0,0,8.5,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,22.64,16.36,1.07,0,1.99,0,0,0,0,23.64,138.23,0,0,0.81,0,0,8,0.84,1.97,0,0,11.51,3.29,0,1.76,0.86,0,2.57,1.12,0.97,2.35,0,0.85,23.41,0,0,5.12,0
 24-34,0,0,0.84,18.82,3.6,1.41,0,0,0,1.86,0,0,5.51,38.49,8.2,0,3.31,0,0,2.39,3.55,12.02,0,0.77,22.74,0,0,0,0,2.91,8.26,0,0,3.14,2.31,0,9.56,0,0,3.63,0
 36-46,0,0,0,1.89,0,0,0,7.16,0,1.31,0,10.03,3.28,1.01,25.36,0,1.42,0,0,0.8,10.61,28.38,0,4.95,9.62,1.54,0.75,0,0,0,2.16,0,0,7.8,0,0,14.43,0,0,15.03,0
 48-58,0,0,0,2.72,0.93,0,0,6.43,0.99,2.95,0,15.81,6.57,0.95,16.96,0,0.66,0,0.45,5.21,10.3,26.34,0,1.46,22.52,2.02,0,0,0,0,0,0,0,7.83,0,0,27.26,0,0,15.77,0
 60-70,0,0,1.59,0,0,0,0,0.78,0,1.22,0,6.44,28.43,0,15.7,0,26.86,0,0,9.99,29.63,13.94,0,8.05,5.69,0,0.6,0,0,0,0.66,0,0,6.65,0,0,22.27,0,1.88,28.66,0
 72-82,0,0,2.32,0.62,12.26,1.18,0,4.03,0,1.32,0,30.01,63.39,0.59,39.2,0,0,0,0.67,3.16,93.15,70.1,0,7.36,11.92,0,1.84,1.21,0,1.12,0,0,0,7,0,0,36.01,0.87,9.16,28.2,0
 84-94,0,0,6.53,6.17,9.53,8.17,0,5.77,0,0.74,0,20.96,220.42,0.6,25.26,0.75,2.39,0,0.78,20.04,77.92,65.18,4.62,12.01,25.34,3.47,6.11,8.19,0,4.73,1.1,0,0,4.1,0,0,40.46,0,3.69,45.6,0
 96-106,0,0,8.05,10.19,10.18,0.68,0,10.29,0,1.77,0,8.75,242.69,1.06,56.83,0,2.24,0,0,17.57,122.05,94,1.72,0,25.48,0,8.29,1.73,0,7.51,4.6,0,0,8.01,0,0,52.42,0,9.09,64.08,0
108-118,0,0,9.32,10.07,13.25,2.42,0.98,4.51,0,5.52,1.72,10.67,322.78,0,30.16,0,7.47,1.26,0.43,21.44,78.69,87.46,0,9.8,22.35,0.48,4.26,0.48,0,24.55,7.86,0,0,5.9,0,0,18.48,0,0.53,44.31,1.19
120,0,0,1.37,0,12.48,8.88,3.41,4.94,0,0,0,11.14,136.44,0,36.6,3.3,2.78,0,0,36.75,169.92,59.77,0,8.5,43.63,0,3.95,0,19.84,74.55,14.66,2.5,0,6.22,0,0,55.05,0,0,97.03,0
