stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,15.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,8.56,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.83,4.11,0.86,0,0,0,0,0,0,0,0,0,0,1.52,0,0,24.8,0,5.27,0,0,0,0,0,0.82,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,22.36,0,0,0,0,0,0,0,0,0,131.52,0,0,0,0,0,0,0.65,24.53,0,0,0,0
 36-46,0,0,0,0,0,0.9,0,0,0,22.46,0,0,0,0,0,0,3.07,0,0,295.22,0,2.6,0,0,0,0,0,28.24,0,0,0,0
 48-58,0,0,0,1.17,0,25.43,0,2,0,29.5,0,0,0,0,0,0,6.06,0,0,699.3,4.09,1.08,0,0,0,0.42,0,19.31,0,0,0,0.63
 60-70,0,0,0,0.68,0,55.86,0,0,0,46.6,0,0.72,0,0.85,0,0,12.52,0,0,1532.87,0,2.82,0,0,0,1.42,0,96.78,0,0,0.81,0
 72-82,0,0,1.36,14.31,0.54,132.61,0,0,0,54.6,0,0,0,0.59,0,0.78,12.83,0,2.31,2020.03,0,3.53,3.37,0,0,0,0,91.15,0,0,1.26,0
 84-94,0,0,2.18,9,0,93.75,0,0,0,56.34,1.93,0,0,1.89,0,0,7.51,0,0,1314.91,0,1.1,0,0,0,4.9,0,97.8,0,0,1.25,0
 96-106,0,0,0,7.19,9.78,35.88,0,0,0,63.89,2.44,0,0,1.91,0,0,9.98,1.14,2.24,1066.04,0,1.95,0,0,0,0.99,0,33.09,0,0,0,0
108-118,0,0,3.92,20.35,0,93.14,0.43,0,0.68,57.03,0.8,0,2.19,1.28,0.69,0,10.46,0.49,0.9,1077.55,0,4.08,1.28,0,0,0.5,0.48,9.4,0.67,1.74,1.05,0
120,0,0,0,2.44,0,132.5,0,0,0,58.17,0,0,0,0,0,0,4.19,0,0,2327.93,0,0,0,0,22.33,0,0,14.31,0,0,0,0
