stage,axial,blastomeres,eye,fin_mesenchyme,glial,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord
  3-4,22.88,1159.23,0,0,0,0,0,0,0,0,0,55.84,0
  5-6,30.88,512.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,43.69,0,21.66,0,0
 14-21,0,0,0,0,0,0,0,1.21,1.99,0,0,0,1.52
 24-34,0,0,3.08,0,0,1.47,0,0.63,2.85,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,4.35,0,0,0,4.21
 48-58,0,0,1.27,0,0.84,0,0,0,6.1,0.4,0,0.48,0
 60-70,0,0,3.89,0.98,0,2.43,0,0,2.2,0,0,0,0
 72-82,0,0,3.32,0,9.49,0,0,0,1,0,0,0,0
 84-94,0,0,0,0,0,1.07,0,0,7.57,0,0,4.35,0
 96-106,0,0,0,0,0,0,3.23,0,0,0,0,4.41,0
108-118,0,0,1.68,0,0,0,0,0,7.16,0,0,0.53,0
120,0,0,0,0,0,0,0,0,2.71,0,0,0,0
