stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,30.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,22.33,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.15,0,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.32,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,1.44,3.31,4.28,0,0.82,3.37,0,0,0,0,0
 24-34,0,0,0,0,0,624.68,0,0,0,0.66,0,0,0,0,0,0,0,0,1.63,0,0,2.98,84.49,0.78,2.13,0,1.88,0,0,0,4.71,0,0,0.77,0,0
 36-46,0,0,0,0,0,2690.85,0.94,0,0,5.36,0,0,0,0.6,0,0,0,0,2.64,0,0,0.72,141.82,0,2.7,0,1.55,0,0,0,24.88,0,0,0.56,0,0
 48-58,0,0,0.83,0,0,3368.02,0,0,0.42,11.76,0,0,0,0,0.43,1.44,0,4.15,13.56,0,0,1.66,226.3,1.37,1.73,0,5.77,0,3.29,0,19.75,0,0,0,0,3.68
 60-70,0,0,1.02,0,0,3709.17,0,10.7,0,3.73,0,0,3.28,0,0,2.22,0,0,16.5,0,0,0.74,102.34,0,12.47,0,7.38,0,0,0,21.1,0,0,0,0,0
 72-82,0,0,1.47,8.22,0,3181.48,0,0,0,27.42,0,0,11.19,0,0,0,1.23,0,24.97,0,0,1.09,120.43,1.63,10.08,0,4.95,0,0,0,3.9,0,0,0,0,6.66
 84-94,0,0,5.01,3.62,0,3156.43,0,0,0,10.49,0.71,2.81,1.16,0,0,0,0,0,22.43,0,0,2.58,141.24,0,3.56,0,0.72,0,0,0,16.76,1.15,0.77,0,0,10.32
 96-106,0,0,6.24,13.19,37.89,2703.08,0,0,0,31.07,0,0.78,1.55,0,1.05,0,0,0,23.51,0,0,0,46.09,0.87,7.93,0,15.17,0,0,0,0,3.33,3.23,1.67,0,0
108-118,0,0,10.47,12.16,0,3533.58,0,0.79,1.98,16.82,2.39,1.02,2.25,0,0,0,0,0,34.87,2.96,0,1.91,87.21,0,7.66,0,6.76,0,0,0,0,1.21,1.23,0.46,4.43,4.4
120,0,0,4.26,1.35,0,2618.45,0,0,10.14,3.3,0,0,4.65,1.1,0,1.69,0,0,16.22,0,2.21,0,120.71,0,18.73,0,0,0,0,0,0,3.87,0,5.28,0,0
