stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,84.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.42,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.85,4.03,0,0,44.15,0,0,0,0,0,0,0,0,0,0
 10-12,18.07,0,0,0,0,0,29.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.97,9.6,0,0,33.18,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.05,0,1.99,2.01,0,0.81,0,0,0,0,0,1.07,0,0,0,0,0,2.92,0,3.99,21.18,0,0,0,0,0,2.86,0,0,1.15,16.81,0,2.05,0,0
 24-34,0,0.67,1.86,0.6,0,0,6.79,0,0,1.64,2.02,0,0,0,2.11,0,0,0,6.06,0,5.4,91.35,0,0,0,0,0.81,1.59,0,0,0.71,22.69,0,19.57,0,8.86
 36-46,0,0,0,0,0,0,17.52,1.56,0,2,3.36,0,0,0,0,0,0,0,9.89,0,4.57,212.94,0,5.39,0.56,0,0,0,0.59,0,0,30.84,0,3.52,0,0
 48-58,0,0,0,0.83,0,0,29.69,0,2.85,0.56,7.12,0,0.44,0,0,0,0.47,1.19,16.59,1.49,1.3,116.38,0.91,0,0,0,0.49,0,0,0,0,27.07,0,0.52,0,0
 60-70,0,0,0,0.58,0,0,74.34,0,0,1.28,10.92,0,0,0,0,0,0,0,28.71,0,6.35,105.19,0,0,0,0,4.68,0,0,0,0,42.99,0,3.11,0,3.11
 72-82,0,0,0,1.78,0,0,67.53,0,0,0,9.68,2.03,1.31,0,0,0,1.59,0,32.67,1.9,0.59,115.33,2.6,0.49,0.69,0,0,0,0,2.54,0,6.77,0.9,2.12,0,8.48
 84-94,0,0,0,2.75,0,0,42.15,0,0,1,5.52,0,0,0,1.56,0,0,0,25.04,2.27,1.68,72.61,2.48,0,0.88,0,1.38,0,0,0,0,4.25,0,0.88,0.98,0
 96-106,0,1.57,0,0.75,0,0,38.6,0,0,0,11.56,0,0,0,0,0.57,0,0,28.4,0,3.8,68.78,0,0,0,0,0.65,0,0,0,0,5.94,0.92,2.89,0,0
108-118,0,0,0,5.79,1.48,0,40.49,0.54,0,1.27,9.2,0,0,0.41,1.18,0,0,0,21.09,0,2.22,108.66,0,0,5.21,0,4.3,0,0,0.98,0,4.98,0,9.39,0.57,0
120,0,9.35,0,0,0,3.69,53.94,3.87,0,0,13.77,1.31,0,0,0,12.97,0,0,8.2,5.78,0,125.32,0,0,0,0,1.15,0,0,0,0,17.33,0,0,0,0
