stage,blastomeres,epidermis,eye,glial,gut,mesenchyme,mural_cell,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord
  3-4,22.67,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.17,0,0,0,0,0,0,0,0,0,0,12.09,0
  7-9,0,0,4.04,0,0,0,0,25.55,4.49,0,0,0,0
 10-12,0,0,3.11,0,0,0,0,19.14,0,0,25.37,0,0
 14-21,0,2.02,4.8,0,0,0,0,7.49,0,0,0,0,3.21
 24-34,0,0,0,2.15,0.67,0,0,5.18,0,0,0,0,3.66
 36-46,0,0,0.83,0,0,0,0,13.31,0,0,0,0,4.06
 48-58,0,0,0.75,0.39,0,0,0,0.55,0,0,0,0.57,6.42
 60-70,0,0,0,0,0,0,1.28,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,0,2.22,0,0,0,0
 84-94,0,0,0,3.05,0,0,0,4.8,0,0,0,0,6.17
 96-106,0,0,0,0,0,0,0,0,0.67,0.59,0,0,0
108-118,0,0,1.85,0,0,3.68,0,0,0,0,0,0,0
