stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,72.74,1178.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.96,0,0,0,0,0,0,0,0,0,0
  5-6,125.46,1198.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,7.11,31.55,0,0,0,0,0,0,0,0,0,0
  7-9,16.19,36.89,0,40.17,0,0,49.39,0,0,0,0,0,16.52,0,0,0,0,0,0,0,0,0,0,0,434.49,32.38,0,0,153.58,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,27.35,0,72.75,0,10.76,65.12,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0,0,0,0,948,79.37,0,0,331.13,0,0,33.11,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,21.64,2.5,7.5,0,0,0,34.57,1.38,0,0,0,0,0,0,0,0,17.09,0,0,10.72,270.52,4.27,8.53,2.83,3.76,0,12.69,9.87,0,10.64,181.03,0,0,0,0,0
 24-34,0,0,3.1,0.84,7.99,0.67,8.15,0,0,0.8,18.93,0,0,5.73,0,0,0,0,0.94,0,19.88,0,0,7.99,451.57,2.2,16.88,2.28,0,1.71,0,4.27,0,2.21,148.83,0,0,1.43,0,0
 36-46,0,0,0,0,22.4,0,79.16,2.61,0.62,3.29,62.36,0.56,0,0.56,5.95,0,0,0,0,2.45,87.94,0,3.1,27.85,1169.57,0,78.65,2.51,0,3.14,0,11.53,0.64,0,337.38,0,0,6.77,0,0
 48-58,0,0,0.42,0,14.57,0,137.8,0,0.52,0.96,57.96,0,0,0,0,0,0.41,0.41,0,0,55.63,0,3.98,11.17,517.05,0,17.23,5.5,0,1.18,0,0.86,0,0,114.87,0,0.42,7,0,0
 60-70,0,0,0,0,7.2,0,181.61,0,0,1.51,41.5,4.03,0,3,0.66,0,0,0,3.54,0,50.09,0,6.28,3.63,414.4,6.04,12.59,0.57,0,6.47,0,0,0,0,55.34,0,0,0.63,0,0
 72-82,0,0,1.48,0,3.62,2.05,165.42,0.75,0.62,2.5,45.26,3.74,0,0,0.56,0,0,0,0,0,65.07,0,0,4.88,345.18,0,20.06,0.82,0,0.87,0,4.52,0,0,31.93,1.36,0.76,4.91,0,0
 84-94,0,0,2.38,0,2.32,0.64,168.73,3.76,1.33,4.37,48.45,2.56,0,0.78,0,1.02,0,0.58,0,0,55.58,0.62,4.69,3.87,213.36,0,13.26,2.35,0,5.13,0,0,0,0,32.89,0,5.45,0.57,2.4,0
 96-106,0,0,4.58,0,4.76,0,125.61,0,1.85,0.82,39.63,0,0,0,0,0,0,1.84,3.07,0,42.42,0,2.02,6.26,264.71,0,18.47,1.65,0,0.76,0,0.69,0,0,5.99,1.6,1.27,2.25,0.65,6.02
108-118,0,0,0.41,0,16.82,1.18,130.56,0,2.2,9.93,59.44,0.73,0,1.61,1.92,0.81,0.69,1.85,6.82,0,42.72,0,0,0,367.61,0,12.33,4.58,0,6.42,0,2.44,0,0,16.82,0.84,3.61,0,1.87,1.25
120,0,0,9.35,6.35,22.13,0,164.55,0,14.86,0,57.11,0,0,6.73,0,0,0,0,0,0,71.02,0,11.39,0,560.92,1.33,12.44,0,0,18.34,0,0,0,0,22.61,3.81,1.52,3.92,5.9,3.64
