stage,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste
  3-4,69.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.39,0,0,0,0,0,0,0
 10-12,0,0,20.34,0,0,0,0,0,0,0,12.68,0,0,0,0,0,84.56,0,0,29.98,0,0,0,0
 14-21,0,0,5.35,26.57,0,0,0,0,0,0.96,7.08,0.96,0,0,0,0,8.94,0,1.37,0,0,0,0,0
 24-34,0,0,0.62,12.94,0,5.08,1.97,0,0,2.59,0,0,1.58,0,7.64,1.03,1.63,3.37,3.96,0,6.13,0.85,0,0
 36-46,0,0,0,4.36,0,5.33,0,0,0,0.58,0,0.68,0.72,0,0,0,14.08,3.2,11.49,0,5.04,1.84,0,0
 48-58,0,0,0,7.63,0,1.41,0,0,0,0,0,0,0,0.37,0,0,12.85,1.52,10.06,0,6.24,0.38,1.08,0
 60-70,0,0,0,2.3,0,0.64,11.35,0,0,0,0,0,0,0.72,1.12,6.4,10.67,0,8.2,0,13.18,0.73,0,0
 72-82,0,0.93,0,2.55,0,2.79,1.46,0,0,1.21,0,1.24,1.66,0,0,1.09,11.55,6.99,6.23,0,7.06,1.03,0,0
 84-94,0,0,1,15.43,0,3.59,7.59,0,0.56,4.53,0,2.31,0,0.57,0.61,0.89,5.34,9.56,5.73,0,12.6,0.74,0,0
 96-106,0,0,0,8.26,0,3.75,0.63,0,0,10.09,0,2.36,6.3,0.76,0,1.57,0.58,11.88,13.44,0,5.51,1.67,0,1.59
108-118,0,0,0,16.56,9.78,10.83,1.56,0,0,4.82,0,0.64,1.12,3.63,2.87,0.7,3.88,1.46,15.43,0,4.41,4.97,0,0.48
120,0,4.32,0,14.19,0,6.57,1.28,4.1,0,15.12,0,0,0,4,0,1.05,19.99,0,33.34,0,12.06,1.12,0,2.24
