stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,43.54,384.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0
  5-6,29.87,680.85,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,18.95,0,0,8.27,15.67,0,0,0,0,0
  7-9,16.85,41.2,15.44,0,0,22.52,0,0,0,0,19.97,0,0,0,0,0,0,0,0,0,417.03,20.5,0,121.8,0,0,0,0,0,0
 10-12,0,4.41,24.65,0,0,19.27,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,174.71,5.66,0,76.85,0,4.94,0,0,0,0
 14-21,0,0,0,3.38,2.71,0.89,0,0,0,0,0.85,0,0,0,0,0,5.97,0,0,0,19.58,13.07,0.89,0,2.2,0,0,7.75,0,0
 24-34,0,0,0,0,0,8.88,0,0,1.02,0.67,0,0,0,0,0,0,8.26,0,0,1.16,41.19,0.79,0,0,0.7,0,0.97,13.98,0.87,0
 36-46,0,0,0,0,0,3.33,0,0,1.22,0,0,0,15.98,0,0,0,4.92,0,0,0,18.31,0,0,0,0,0,1.16,4.01,1.58,0
 48-58,0,0,0,0,0,7.34,0,0,4.86,1.57,0,0,0,0,0.53,0,4.82,0,0,0.59,24.25,0,0,0,1,0,0,0,0,0
 60-70,0,0,0,2.68,0,5.6,0,9.26,7.8,0,0,0.75,0,0,0,0,9.35,0,0.71,2,4.84,0,0,0,2.31,0,0,0,1.81,0
 72-82,0,0,0,3.03,0,4.19,0.8,0,5.72,0,0,0.86,0,0.93,0,0,6.81,0,0,0,1.59,0,0,0,1.39,0,0,0,0,0.59
 84-94,0,0,0,0,0,0.94,0.56,0,1.11,0.59,0,0,0,0,1.72,0,5.34,0,0.55,0,8.24,0,0,0,0,0,0,0,2.66,0.62
 96-106,0,0,0,0,0,0,0,2.05,3.28,0,0,0,0,3.46,2.06,14.15,7.48,2.12,0,0,2.02,0,0,0,0.93,0,0,0,0,0
108-118,0,0,0,0.45,0,0.74,0,0,2.35,1.02,0,0,0,0,0,0,1.84,0,0,0,7.19,0,0,0,0.66,0,0,0,4.96,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,6.49,0,0,0,0,0,0,0,0,0
