stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.94,283.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0
  5-6,61.46,388.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.24,0,0,5.76,0,0,0,4.3,0,0,0,0,0,0,0,0,81.83,0,0,3.27,0,12.73,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0,24.68,0,0,6.13,3.81,0,15.22,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.09,0,0,0,0,0.82,0,0,0,0,0,0,1.23,0,2.48,159.38,0,0,2.05,0,0,0,1.2,0.84,15.03,0,0,0,0
 24-34,0,0,0,0.76,8.35,0,2.94,0,1.45,0,0,0,0,0,0,0,3.9,0,1.02,310.14,0,0,0,1.07,0,0,0,0,38.18,0,5.71,0,0
 36-46,0,0,0,0,0,0,8.49,0,2.82,0,0,0,0,0,0,0,0.8,0,0,275.32,0,0.82,0,0,0,0.59,0,0,77.66,0,6.17,0,0
 48-58,0,0,0,0,0.61,0,8.5,0,7.69,0,0,0.5,0,0,0,0,1.07,0.52,0,169.69,0,0,0,0,0,0,0,0,100.54,0,5.87,0,3.39
 60-70,0,0,0,0,3.07,0,2.23,0,0,0,0,0,0,0,0,2.76,1.8,0,0.77,101.84,0,1.01,0,0,0,0,0,0,52.59,0,1.81,0,0
 72-82,0,0,0,0,4,0.59,2.64,0,1.89,0,0,0.79,0,0,0,0.62,10.43,0,2.46,80.16,0,0,0,0,0,0,0,0,24.66,3.37,7,0,0
 84-94,0,0,0,0,5.12,0,13.16,0,0.7,0,0,1.22,0,0.64,0,0,4.99,0,0,60.39,0,1.83,0,0,0,0,0,0,14.52,4.2,8.99,0,0
 96-106,0,0,0,0,2.8,0,3.08,0,2.98,0,0,0.99,1.04,0,0,0.74,12.06,0,0.89,51.88,2.42,3.04,0,0,5.88,0,0,0,15.9,2.97,8.92,0,0
108-118,0,0,1.39,0,3.15,0,3.27,2.64,3.68,0,0,0,0,1.37,0.53,3.98,10.67,0,0,68.07,0,0.9,0,0,0,0,0,0,1.13,1.89,4.81,3.86,0
120,0,0,0,0,6.54,0,13.13,0,7.05,2.99,0,0,0,0,0,6.57,19.85,0,2.62,55.92,0,3.1,0,1.57,0,0,0,0,11.04,4.45,11.42,0,0
