stage,epidermis,erythrocytes,eye,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,3.45,1.07,1.06,0,0,0,0,0,0,0,0,0,0,7.5,0.83,0,0,0,0,2.76,0.84,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.3,0,0.67,5.57,0.6,0,0,0.96,0,0,3.36,0,0,0
 36-46,1.57,0,0,2.03,0,0,0,0,0,0,5.35,0,1.98,13.24,0,0,0,0,1.42,0,3.68,0,0,0
 48-58,2.01,0,2.99,5.25,0,0,0,0,0.48,0,5.97,0.54,0.89,25.83,1.94,0,1.08,0,0,0,4.29,0,0.41,0
 60-70,0,0,9.84,3.99,0.59,0,0,0,0,5.37,12.03,0.59,0,11.99,0,0,0,0,0,0,0.71,0,0,0
 72-82,0.59,0,24.11,0.94,0,0,0,0,0,0,5,0.55,1.06,11.67,0,1.85,0,0,0,0,0,0.52,0,1.53
 84-94,4.28,0,0.59,5.55,0.97,0,0.83,0,0,0,12.38,0,2.57,3.86,0,0,1.76,0,1.26,0,0,0,0,2.7
 96-106,0,0,3.67,4.22,0,1.53,0,0,0,0,18.33,0,2.49,7.03,0,0.63,1.16,2.04,0,0,0,0.76,1.83,3.94
108-118,0.49,0,6.18,1.12,0,0,0,1.59,0,0,23.76,0,0,23.47,0,0,0.5,0,0,0,8.61,0.69,0,2.61
120,0,4.16,1.24,0,0,0,0,0,0,0,24.11,0,0,14.98,0,2.4,0,0,0,0,1.81,0,0,1.45
