stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,liver,mesenchyme,mural_cell,muscle,neural,otic,periderm,slow_muscle,spinal_cord,taste,vasculature
  5-6,6.8,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,2.87,0,0,0,3,0,0
 36-46,0,0,0,0,1.39,1.3,0,0,0,0,0,0,0,0.55,14.27,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.82,0,0.68,0,0,0,0.53,0,0,44.92,0,0,17.15,3.08,0,0
 60-70,0,0,0,0,34.36,0.73,0,1.64,0,0,0,0,0,5.16,111.06,3.17,0,0,4.03,0,0
 72-82,0,0,2.51,0,69.78,6.88,0,0,0,0,0,0,0.56,0.83,184.05,2.87,0,0,12.25,0,7.99
 84-94,0,0,1.76,8.41,28.56,0.57,0,2.69,0,0,0,0,0,0.94,141.1,2.4,0,0,11.26,0,0
 96-106,0,0,0,0,89.89,4.26,0,8.31,0,0.71,0,0,0,0,137.37,3.44,1.7,0,5.69,0,0
108-118,0,0,1.77,0,95.07,3.78,0,5.64,0.79,0,1.12,3.56,0,4.02,135.25,2.1,0,1.76,3.85,0.68,0
120,0,0,1.95,0,97.01,20.39,0,33.85,0,0,0,11.11,0,0,490.39,3.1,0,0,0,0,0
