stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0
  5-6,7.8,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.36,0,0,0,0,0,0,0,0,0,0
 14-21,0,4.42,2.68,1.85,0,0,0,0,0.93,0,0,0,0,0,0,0,1.96,0,0,0.87,3.96,0,2.29,0,10.3,1.23,1.01,0,0,0,0
 24-34,0,0,1.85,0.76,0,2.94,1.07,0,2.64,7.1,0,0,0,0,0,0,6.51,0.78,0,2.29,49.44,9.38,14.41,0.72,25.24,0.73,14.68,0,0,0,1.71
 36-46,0,1.93,0.67,0.71,0,6.16,0,0,4.21,1.2,0,0,0,1.88,6.69,17.47,10.58,0,0,0,89.39,5.24,9.78,0,22.46,0,10.86,0,0,0,0.65
 48-58,0,1,0,0,0,16.28,0,0,7.72,3.85,0,0,0,0.43,2.88,4.13,12.42,2.82,0,0,100.31,3.47,27.6,2.96,14.47,0,8.7,0,0,0,0.6
 60-70,0,1.8,0,0,0,6.63,0,0,14.51,20.86,0,0,0,0,6.01,2.23,8.74,3.99,0,1.41,40.65,7.51,37.25,6.45,5.94,0,5.78,1.06,0,8.75,4.71
 72-82,0,9.44,0.63,1.91,0,28.39,0,0,42.73,38.2,0,0,0,0,31.18,2.49,2.85,2.62,0,0.84,60.24,6.05,47.92,0,5.05,0,7.59,0.77,0,0,8.15
 84-94,0,14.57,1.21,0,0,21.44,0,0,15.1,70.49,0,0,0,0,23.57,7.96,33.4,0.62,0,0,46.07,8.83,70.76,2.08,9.29,0,3.34,10.96,0,0,0
 96-106,0,19.79,1.17,3.65,5.83,15.91,0,0,29.1,87.73,0,0,0,0,71.52,7.91,4.84,4.35,1.53,0,50.33,8.5,83.29,2.03,3.27,0,5.71,7.32,1.18,0,6.15
108-118,0,16.42,2.76,7.86,0,10.66,0,2.55,26.92,102.29,0,1.36,2.05,0,53.41,10.14,5.8,11.27,0,0.48,54.73,18.85,107.52,1.58,2.18,0,6.06,3.12,0,0,6.6
120,0,16.28,3.17,7.2,0,0,0,0,26.57,113.24,0,3.24,1.4,0,55.14,27.94,0,1.91,0,0,94.28,28.94,124.9,3.83,5.04,0,0,1.12,0,0,5.93
