stage,epidermis,eye,fast_muscle,fin_epithelia,glial,heart,liver,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,1.93,0,0,0,0,0,0,0,0,0,0.93,0,0,1.27,0,0
 24-34,1.38,0,0,0,0,0,0,0,0,9.29,5.8,0,0,3.15,0,1.11
 36-46,2.13,0,0.64,0,0,3.17,0,0.66,0,0,19.6,0,0,3.69,0,0
 48-58,0.5,5.42,0,0,0,0,0,0,0,0,43.13,0,2.81,11.28,0,0
 60-70,3.51,14.73,0,0,1.85,0,0,0,0,0.68,68.53,0,0,6.25,0,0.85
 72-82,0.54,38.58,0,0,0,0,0,0,0.68,0,38.13,0,0,5.77,0,0
 84-94,7.48,12.48,0,0,1.3,0,0,0,0,0,37.63,0,0,10.24,0,0
 96-106,2.08,10.27,0,0.84,4.63,0,0,1.64,0,0,18.71,0.6,0,4.18,0,0
108-118,0,2.91,0.43,0,0.48,0,2.21,1.26,0,0,16.92,0,0,1.76,0.67,0
120,12.54,0,0,0,0,0,0,0,0,0,39.62,0,1.01,0,0,0
