stage,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  7-9,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86,0,0,0,4.24,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,61.5,10.12,0,0,16.33,0,0,0,0,0,0,0,0
 14-21,0.8,0,0,2.38,0,0,2.19,0,2.12,0,0,0,0,1.01,0,0,0,2.99,0.87,0,0,0.85,1.86,3.88,0,2.61,2.86,0,0,1.39
 24-34,0,0,0,0,0,0.99,3.54,0,0,0,0,0,0.91,1.92,0,0,1.01,7.38,0,0,5.81,0,0,0,1.91,1.25,13.94,0,0,0
 36-46,0,0,0,0,1.3,0,1.67,0,0,0,0,0,0,5.7,0,0,0.9,26.04,0,2.51,2.96,0,0,0,3.41,0,13.13,0,0,0
 48-58,0,0,0,2.36,0,0,2.67,0,0,0,0,0,0.8,2.44,0,0,0.72,42.39,0,2.25,4.48,0,0,0,0.61,0,8.69,0,0,0
 60-70,0,0.85,0,18.21,0,4.58,3.63,0,0,0,0,0,0.57,0,0,0,0,29.67,0,1.27,16.73,0,0,0,0,0,9.67,0,0,0
 72-82,0,0,0,35.16,0,3.99,5.49,0,0,1.35,0,0.55,1.84,2.08,0,0.67,0,38.79,0,3.46,12.73,0,0,0,1.23,0,5.21,0,0,0
 84-94,0,13.02,2.25,32.16,0,0,13.96,0,0,0,0,0,4.72,2.29,0,0,0,14.47,0,0.63,26.83,0,1.95,0,3.09,0,7.11,0,0,0
 96-106,0,7.77,0,30.19,0,0,8.79,0.73,0,0,0.63,0,4.8,3.01,0,0,0,3.53,0,3.64,17.41,0,0,0,0,0,14.04,2.76,2.24,0
108-118,0,0,4.47,10.68,0,0,3.89,0,0,0,0,0,5.27,5.98,0.94,0,2.46,31.14,0,11.72,19.78,0,0,0,0.42,0,1.2,0,0,0
120,0,0,0,3.76,0,0,2.82,0,0,0,0,0,3.29,3.62,0,0,0,31.47,0,3.8,31.75,0,0,0,0,0,2.91,2,0,0
