stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,40.9,1322.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.59,0,0,0,0,0,0,0,0,0,0,0
  5-6,128.02,2181.88,10.26,0,0,0,0,0,0,0,0,0,26.21,0,0,0,0,0,0,0,0,0,0,108.5,0,0,0,16.74,18.28,0,0,0,0,0,0,0,0,0,0,0
  7-9,19.73,113.35,150.27,0,0,0,189.89,0,0,0,0,0,62.1,0,0,0,0,0,0,0,0,0,0,1981.26,51.03,0,0,793.61,9.24,0,0,9.82,0,0,0,0,0,0,0,0
 10-12,0,69.79,39.71,0,0,0,187.71,0,0,0,0,0,29.39,0,0,0,0,0,0,0,0,0,3.87,1676.98,25.51,0,0,623.06,8.17,5.47,14.69,70.01,0,3.24,0,0,0,0,0,0
 14-21,0,1.36,7.93,39.68,18.65,0,45.81,0,0,0,13.17,0.82,0,1.07,0,0,0,0,0,0,48.98,0,20.58,530.6,5.13,0.96,0,10.74,19.12,0,34.61,5,0,25.02,159.11,0,0,0,0,0
 24-34,0,0,1.51,6.88,2.82,0,148.92,0,0.62,0.69,12.44,0,0,3.28,0,2.91,2.08,0.75,0,0,88.63,0,25.57,801.57,5.11,4.03,16.06,0,33.57,0,0,2.66,0,1.31,154.58,0,0,13.42,0,5.67
 36-46,0,0,0.56,17.39,2.44,0,199.29,0,0,1.73,13.16,2.36,0,0,0.98,2.49,0,0,1.39,0.62,49.51,2.13,22.76,517.34,0.66,0.79,0,0,7.53,0.81,0,0,0,0,77.97,0,0,3.89,0,0
 48-58,0,0,0,16.41,0,0,192.06,0,4.71,0,24.84,0.51,0,0,1.12,0,0.92,0.9,1.52,0,61.75,1.48,11.37,225.35,0.39,0.52,0.38,0,3.64,0,0,4.26,1.46,0,38.26,0,0,10.38,0,4.79
 60-70,0,0,0,19.2,0,0,124.57,1.59,2.42,0.62,31.59,3.79,0,0,0,0,0.67,0,2.89,1.05,38.84,0.91,3.04,204.4,0.83,5.16,0.83,0,5.06,0,0,0.6,0,0,23.47,0,0,4.94,0,0
 72-82,0,0,0,11.48,1.09,0,69.94,0,0,0,17.81,3.01,0,0,0,0.73,0,0,0,0,53.52,3.92,10.64,111.35,0,1.05,1.32,0,0,0,0,0,0,0,9.37,0,0,1.72,0,0
 84-94,0,0,0,14.95,1.86,0,54.44,1.38,0,1.2,15.92,2.37,0,0,0.79,0,2.07,0,0,0,46.91,4.28,9.47,74.44,3.03,0,1.58,0,7.52,0,0,0.6,0,0,18.17,0.83,0,4.2,0,0
 96-106,0,0,0,6.22,4.18,1.25,38.25,0,0,0,5.76,2.97,0,0,0,0,1.98,1.11,0.7,0,23.13,0,4.41,89.24,0.62,0.57,1.12,0,6.37,0,0,0,0,0,13.12,1.57,0,2.44,0,7.66
108-118,0,0,0,10.91,3.85,0.45,50.21,0,0,0,21.51,3.63,0,0,4.53,0.81,1.76,0,0.9,0,25.55,0.94,9.38,96.4,2.09,0.42,5.53,0,8.46,0,0,0.53,0,0,10.41,0,1.6,7.38,0.92,0
120,0,0,0,0,1.36,0,44.06,0,0,0,30.48,4.27,0,0,2.29,2.93,1.18,3.78,0,0,26.67,0,7.52,119.88,0,1.27,3.28,0,1.47,0,0,0,0,0,10.24,0,0,10.43,0,0
