stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,386.5,9447.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425.89,0,0,0,0,0,0,0,0,0,0
  5-6,768.37,9422.11,0,67.41,0,0,0,0,0,0,0,0,0,96.59,0,0,0,0,0,0,0,0,0,0,0,535.02,55.78,0,0,151.85,0,268.2,0,0,0,0,0,0,0,0,0,0
  7-9,621.4,282.08,0,667.1,0,0,0,830.01,0,0,0,0,0,671.07,0,0,0,0,0,0,0,0,0,0,0,8142.76,381.55,0,0,3744.64,0,25.84,100.8,0,0,0,0,0,0,0,0,0
 10-12,0,227.71,0,407.99,0,90.23,0,500.3,0,0,0,0,0,112.09,0,0,0,0,0,0,0,0,0,0,0,5149.74,68.12,0,0,2242.55,0,16.44,48.43,8.86,239.25,0,13.06,32.55,0,0,0,0
 14-21,0,2.18,0,21.16,162.56,43.41,0,67.85,0,0,0,11.57,9.11,2.81,1.07,2.85,1.21,0,0,0,0,68.68,0,0,64.77,945,35.13,5.53,11.61,52.86,0,73.2,0,226.73,13.12,0,131.24,366.25,0,7.12,0,0
 24-34,0,0,0,5.01,30.96,13.42,0,147.16,0,0,0.63,32.37,2.16,0,0.92,3.7,1.3,0,0.78,2.68,0,199.07,0,0.82,55.45,1799.73,45.83,15.08,12.36,0,0,145.25,0,0,3.76,0,13.97,413.07,0,52.1,0,7.62
 36-46,0,0,0,0.56,33.07,4.47,0,447.77,0,0,0.82,25.96,0,0,0.97,8.7,0.77,0.6,1.65,2.97,0,172.03,0.67,0,52.74,1100.03,10.7,2.48,0.61,0,0,61.94,0,0,1.8,1.69,0,241.38,0,40.37,0,7.39
 48-58,0,0,0,0,9.57,1.03,0,705.12,0,0,1.93,35.48,0.64,0,4.65,6.23,0.4,12.72,3.6,1.04,2.81,166.18,0.94,4.72,27.37,509.31,11.74,0.41,4.88,0,0,41.19,0,0,9.93,0,0,79.84,0,21.59,0,4.64
 60-70,0,0,0,0,20.5,0,0,463.49,0,3.01,0,28.52,4.17,0,1.5,3.11,0,11.23,0.67,0,0,131.49,0,10.15,18.03,269.64,9.53,0,0,0,0,15.87,0,0,0,0,0,18,0,9.75,0,1.44
 72-82,0,0,0,0,20.01,1.07,1.04,160.19,1.66,0,1.72,22.99,2.03,0,1.06,7.52,0.7,1.9,0,0,0,142.08,0.52,18.8,15.39,189.21,2.65,2.43,2.33,0,0,7.88,0,0,0.77,0,0,0.61,4.15,19.44,0,6.61
 84-94,0,0,0,0,19.88,6.53,0.62,109.09,0,0,0.77,7.84,9.05,0,0,8.46,2.96,2.75,0,0.69,0,114.29,0,13.49,14.68,132.09,6.45,0,11.54,0,0,16.94,0,0,0.8,0,0,4.19,0.56,21.67,0.77,6.26
 96-106,0,0,0,0,18.78,5.56,0,97.71,0,0,0,27.36,4.86,0,2.34,16.37,0,0.92,1.42,2.63,0,63.66,0,5.23,11.88,116.78,3.35,4.36,3.74,0,0,14.37,0,0,1.18,0,0,0.84,1.67,18.39,0,0
108-118,0,0,0.8,0,13.88,2.5,2.38,132.77,0,0.48,0,24.04,7.34,0,0,8.14,0.44,0.94,0,2.41,0.98,57.47,0,3.45,11.13,164,3.4,2.85,5.37,0,0,9.91,0,0,0.53,0,0,1.39,1.75,13.46,0,0
120,0,0,0,0,4.45,7.93,0,91.99,0,0,0,42.32,0,0,5.18,25.86,1.28,0,0,0,0,42.88,0,1.41,13.36,160.42,1.1,0,3.16,0,2.67,3.45,0,0,0,0,0,11.88,1.65,16.03,0,10.98
