stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.32,89.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.2,0,0,0,0,0,0,0,0,4.58,0,0,0,0,0,0,0,0,0,0,0,16.75,0,0,0,8.72,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.39,0,0,14.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.29,15.87,0,0,33.18,0,0,0,4.8,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.58,15.8,2.14,1.42,0,0.88,0,5.77,0,0,0,0,0,0,0,0,0,9.12,0,0,3.32,45.53,2.57,1.51,0,0.82,0,8.78,0.91,0,0,10.8,39.11,0,0,0,0,0
 24-34,0.88,0,0,0,22.45,0,13.2,0,4.35,0.68,7.61,0.73,0,3.43,0.69,0,0,0.63,0,0,29.28,0,0,11.92,506.48,0,24.25,5.3,0,0,43.69,0,5.46,0,2.04,149.16,0,0,11.37,0,0
 36-46,0,0,0,0,11.03,0,29.72,0,4.18,3.47,16.48,0,0,0.75,0,0,0,3.46,0,0.67,48.82,0,0,14.21,1212.86,0.62,13.83,2.65,0,2.85,45.75,0,0,0,0,167.19,0,0,4.23,0,0
 48-58,0,0,0,0,20.45,0,219.48,0.42,7.39,3.3,60.88,0,0.39,0.65,0,0.47,9.66,0.44,0,2.05,83.7,0,0.81,12.07,1928.14,1.68,10.14,1.37,0,0,30.7,0,0,1.4,0,307.3,0,0.84,5.94,0,0
 60-70,0,0,0,0,7.96,0,638.79,0,12.09,18.77,58.11,0,0,1.87,0,0,7.43,0,0,0.93,161.57,0,8.27,6.39,2323.59,5.95,16.94,9.49,0,2.69,34.79,0,0.73,0,0,305.19,0,2.11,12.2,0,0
 72-82,0,0,1.98,0,13.97,16.28,931.17,0,2.09,10.93,107.4,1.5,0,6.6,0,0.53,0,5.22,0,1.13,250.46,0,14.11,12.56,2611.08,0,13.99,11.88,0,5.14,16.62,0,0,0,0,269.67,1.1,7.91,24.68,6.23,2.26
 84-94,0,0,0.66,1.04,41.58,27.47,630.34,0,7.85,6.95,78.67,1.38,0.6,1.5,0.59,2.05,2.75,2.43,0,10.1,189.15,1.03,0,8.88,1637.78,0,6.17,2.96,0,3.05,42.44,0,0.67,0,0,186.87,1.62,9.97,20.34,16.57,1.99
 96-106,0,0,1.08,0,30.36,7.79,526.42,0.93,0.73,2.29,98.47,8.07,0,4.69,5.11,1.26,2.26,3.61,0.7,1.03,169.77,0,3.26,14.1,1434.45,0,33.02,21.86,0,6.62,39.54,0,1.22,0,0,112.82,0,5.94,38.75,3.68,4.21
108-118,0,0,0.54,0,48.57,5.52,486.19,8.87,3.42,6.67,115.14,6.93,0,1.95,2.38,2.04,13.14,10.2,3.96,2.16,195.51,4.21,11.1,9.41,1706.6,0,19.76,18.3,0,11.29,13.06,0,0,0,0,65.72,2.14,5.96,28.82,11.88,0
120,0,0,1.43,0,42.12,43.76,519.91,2.98,19.43,9.33,156.45,2.42,0,0,0,0,10.1,3.07,0,0,164.84,9.06,13.03,4.9,2738.85,0,28.22,10.33,0,5.34,30.76,0,3.15,0,0,107.43,1.28,20.63,18.76,1.93,0
