stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,ionocyte,mesenchyme,mural_cell,muscle,neural,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord
  3-4,0,60.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,50.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.67,0,0,0,0,0,0,0,0,0,3.87,0,0,0,0,0,0
 10-12,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.79,0,0,0,1.1,0,0,0,0,0,1.29,0.81,3.78,0.92
 24-34,0,0,0,0,1.03,0,0.77,0.65,0,5.43,1.8,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,17,0,1.88,1.15,0,1.05,0,0,0,0.84
 48-58,0,0,0,0,0,2.54,0,1.55,0,0,3.66,0,0,0,0,0,1.24
 60-70,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,3.02
 84-94,0,0,0,0,0,0,0,5.84,0,0,2.15,0,0.66,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.95,0,0,1.96,0,0,0,0,0
108-118,0,0,0,0,0,8.01,0,1.33,0,0,0.51,0,0,0,0,0,0
120,0,0,0,0,0,0,0,2.56,0,0,0,0,0,0,0,0,0
