stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.27,0,0,0,0,12.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.05,0,0,0,22.39,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.68,0,0,110.04,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,1.13,359.44,0,69.84,0,0,0,0,0.9,1.54,0,0,24.31,0,0,0,0
 24-34,0,0,5.17,2.37,0,994.18,0,1.32,0,3.78,0,0,0,0.66,0,0,0,0,9.46,5.25,0,1.75,1633.47,8.76,114.49,3.92,0,0,6.67,0,11.96,0,2.77,97.6,0,0,6.36,0
 36-46,0,0,5.42,0.73,0,5047.74,1.6,0,0,42.65,0,2.3,3.51,0.98,14.63,1.33,0,18.75,15.04,0,0,0.65,2176.34,0.66,47.56,5.51,0,2.1,24.97,0,2.63,0,0.96,81.53,0,0,3.27,0
 48-58,0,0,22.87,2.19,0,5103.25,3.41,0,0.41,91.43,0,0,2.19,1.02,8.38,1.93,0,0,39.8,0.42,12.2,15.69,1880.99,0.61,23.07,7.13,0,0,5.65,0,3.31,14.29,0,83.42,0,0,2.17,10.08
 60-70,0,0,9.49,0.71,0,2721.2,0,14.48,0,46.63,0,0,0,5.42,0,0,0,3.48,38.71,1.53,0,0,752.39,0,10.17,6.95,0,1.21,5.3,0,10.11,0.65,0,46.42,0,1.27,0.73,0
 72-82,0,0,7.3,0,0,895.68,0,0,0,44.26,2.4,0,0,0,0,0,0,0,9.39,0,1.32,0,349.49,0,15.72,1.45,0,0,3.73,0,0.7,0,0,13.45,0,0,0,8.97
 84-94,0,0,9.9,0,0.56,639.81,0,0,0,44.78,1.03,2.51,0,0,3.01,0,0.66,0,18.89,0,5.29,0,314.86,0,11.1,1.62,0,0,0,0,11.98,0,0,5.45,0.57,0,0.91,0
 96-106,0,0,8.22,4.68,0,499.17,0,0,0,51.05,0.72,1.59,3.54,0,0,0,0,0,30.84,0,4.46,1.73,209.59,0,23.81,0.73,0,0,1.28,0,0,0,0,0,0,0.56,4.55,8
108-118,0,0.58,3.6,0,3.35,627.77,0,0,0.53,43.91,0,0,1.3,0.81,0,1.94,0,4.79,5.59,0,2.03,0,341.53,0.71,12.39,1.65,0,0,1.6,0,1.63,0,0,0.57,0,0,0,0
120,0,0,16.18,3.03,0,773.06,0,0,0,158.08,0,0,1.45,0,11.11,0,0,0,7.43,0,10.22,0,408.89,0,3.58,1.86,0,0,0,0,0,0,0,21.37,0,1.52,2.42,0
